,DATE,compound,gas_prices,consumer_sentiments,unemployment_rate,dow_index,Consumer_debt_service,Pct_chng_prv_yr,Sales,GDP
0,11/1/1992,0.8121,1.1112,85.3,7.4,,4.6602120000000005,4.4,-18182.993040493748,-576.1094474839992
1,11/1/1993,0.762175,1.0664,81.2,6.6,0.05827480245829686,4.755414,2.6,-15860.780981956197,-676.8040249327732
2,11/1/1994,0.6671,1.11575,91.6,5.6,-0.07508036917971594,5.120072,4.1,-12429.204552768322,-618.3545339768734
3,11/1/1996,0.7226,1.23225,99.2,5.4,0.029401429073445007,5.777011,4.4,-14186.080894539831,-621.6695915862457
4,11/1/1997,0.85595,1.17075,107.2,4.6,0.11299499317250805,5.705666000000001,4.5,-15907.241200783641,-467.95269332870697
5,11/1/1998,0.34853333299999995,0.9954,102.7,4.4,-0.016664962682752194,5.761093,4.9,-14045.35415923243,-239.84776110986058
6,11/1/1999,0.3739,1.2514,107.2,4.1,0.05957579538365554,5.95983,4.8,-4767.3645904705345,15.527123317184305
7,11/1/2000,0.3271,1.51725,107.6,3.9,0.1294279266019036,6.341266,3.0,-4842.4389687328085,73.97078305000832
8,11/1/2001,-0.16125,1.1705,83.9,5.5,0.003909643788010397,6.712248,0.2,-4182.7641653851015,-216.9416632658831
9,11/1/2002,0.5859,1.419,84.2,5.9,-0.07832107312851577,6.502536,2.1,-10241.500527437836,-234.42132872438742
10,11/1/2003,0.5789,1.5119999999999998,93.7,5.8,-0.152300469483568,6.371153,4.3,-4139.19417429826,74.69626212012372
11,11/1/2004,0.05795,1.9794,92.8,5.4,-0.09370846256092169,6.237751,3.3,5678.009712456085,282.28009804373505
12,11/1/2005,0.408385714,2.25675,81.6,5.0,0.11843070153996593,6.10349,3.1,15391.552947606542,505.84648265870237
13,11/1/2006,0.041875,2.22925,92.1,4.5,-0.09463446617855986,5.919763,2.6,18748.32858986408,688.9832945160069
14,11/1/2007,0.08545714300000001,3.08,76.1,4.7,-0.08062764031382008,6.00891,2.0,30654.609977347427,814.9402581149608
15,11/1/2009,0.29765,2.6514,67.4,9.9,-0.13574765007785017,5.417978,0.2,-12957.246612244518,141.5787426374591
16,11/1/2010,0.37835,2.859,71.6,9.8,0.08455327950890767,5.027983,2.6,4820.265943244564,450.05396344172914
17,11/1/2011,0.0,3.38375,63.7,8.6,-0.03420654353951591,5.013645,1.6,24356.84271945641,650.5345866962742
18,11/1/2011,0.0,3.38375,63.7,8.6,-0.03420654353951591,5.013645,1.6,24356.84271945641,650.5345866962742
19,11/1/2011,0.0,3.38375,63.7,8.6,-0.03420654353951591,5.013645,1.6,24356.84271945641,650.5345866962742
20,11/1/2011,0.0,3.38375,63.7,8.6,-0.03420654353951591,5.013645,1.6,24356.84271945641,650.5345866962742
21,11/1/2016,0.0,2.1815,93.8,4.7,0.0132621494860794,5.59175,2.1,87065.74070609723,2760.3994119613976
