,,
Date,Gold Price Fix AM in US dollars per troy ounce,Gold Price Fix PM in US dollars per troy ounce
"January 2, 1998",$287.70 oz,$288.00 oz
"January 5, 1998",$287.35 oz,$284.40 oz
"January 6, 1998",$281.80 oz,$282.80 oz
"January 7, 1998",$282.10 oz,$281.60 oz
"January 8, 1998",$282.90 oz,$281.65 oz
"January 9, 1998",$281.90 oz,$278.70 oz
"January 12, 1998",$278.50 oz,$278.90 oz
"January 13, 1998",$279.05 oz,$279.50 oz
"January 14, 1998",$285.90 oz,$282.50 oz
"January 15, 1998",$281.10 oz,$282.50 oz
"January 16, 1998",$287.35 oz,$290.00 oz
"January 19, 1998",$285.75 oz,$287.25 oz
"January 20, 1998",$287.20 oz,$288.40 oz
"January 21, 1998",$291.90 oz,$291.00 oz
"January 22, 1998",$293.80 oz,$293.80 oz
"January 23, 1998",$291.45 oz,$291.00 oz
"January 26, 1998",$304.50 oz,$302.75 oz
"January 27, 1998",$300.00 oz,$298.90 oz
"January 28, 1998",$298.25 oz,$300.00 oz
"January 29, 1998",$304.25 oz,$302.50 oz
"January 30, 1998",$301.80 oz,$304.85 oz
"February 2, 1998",$302.00 oz,$301.50 oz
"February 3, 1998",$299.70 oz,$298.35 oz
"February 4, 1998",$295.20 oz,$298.15 oz
"February 5, 1998",$298.90 oz,$298.50 oz
"February 6, 1998",$301.60 oz,$299.10 oz
"February 9, 1998",$300.00 oz,$300.60 oz
"February 10, 1998",$300.75 oz,$299.50 oz
"February 11, 1998",$298.95 oz,$298.45 oz
"February 12, 1998",$299.00 oz,$299.45 oz
"February 13, 1998",$298.00 oz,$299.15 oz
"February 16, 1998",$297.70 oz,$298.20 oz
"February 17, 1998",$299.20 oz,$299.30 oz
"February 18, 1998",$297.80 oz,$298.15 oz
"February 19, 1998",$298.30 oz,$298.00 oz
"February 20, 1998",$298.35 oz,$296.70 oz
"February 23, 1998",$295.20 oz,$292.70 oz
"February 24, 1998",$292.35 oz,$291.40 oz
"February 25, 1998",$292.30 oz,$292.25 oz
"February 26, 1998",$293.00 oz,$293.00 oz
"February 27, 1998",$296.55 oz,$297.40 oz
"March 2, 1998",$299.75 oz,$298.35 oz
"March 3, 1998",$297.65 oz,$297.00 oz
"March 4, 1998",$296.00 oz,$296.75 oz
"March 5, 1998",$294.70 oz,$293.70 oz
"March 6, 1998",$294.25 oz,$294.90 oz
"March 9, 1998",$294.45 oz,$293.85 oz
"March 10, 1998",$294.30 oz,$294.40 oz
"March 11, 1998",$295.25 oz,$294.10 oz
"March 12, 1998",$294.00 oz,$293.85 oz
"March 13, 1998",$295.15 oz,$294.55 oz
"March 16, 1998",$294.15 oz,$294.20 oz
"March 17, 1998",$293.80 oz,$293.80 oz
"March 18, 1998",$289.10 oz,$290.40 oz
"March 19, 1998",$291.30 oz,$291.50 oz
"March 20, 1998",$291.10 oz,$292.40 oz
"March 23, 1998",$292.80 oz,$293.00 oz
"March 24, 1998",$298.85 oz,$300.30 oz
"March 25, 1998",$298.50 oz,$299.25 oz
"March 26, 1998",$299.20 oz,$299.60 oz
"March 27, 1998",$302.75 oz,$301.95 oz
"March 30, 1998",$302.20 oz,$301.85 oz
"March 31, 1998",$299.90 oz,$301.00 oz
"April 1, 1998",$301.60 oz,$301.00 oz
"April 2, 1998",$299.30 oz,$300.30 oz
"April 3, 1998",$305.95 oz,$306.00 oz
"April 6, 1998",$313.50 oz,$310.60 oz
"April 7, 1998",$309.15 oz,$309.20 oz
"April 8, 1998",$309.75 oz,$308.80 oz
"April 9, 1998",$308.35 oz,$307.65 oz
"April 14, 1998",$309.50 oz,$309.50 oz
"April 15, 1998",$308.35 oz,$307.20 oz
"April 16, 1998",$306.30 oz,$306.30 oz
"April 17, 1998",$308.20 oz,$308.45 oz
"April 20, 1998",$307.30 oz,$307.45 oz
"April 21, 1998",$307.20 oz,$307.50 oz
"April 22, 1998",$311.20 oz,$312.80 oz
"April 23, 1998",$314.60 oz,$312.75 oz
"April 24, 1998",$312.65 oz,$313.15 oz
"April 27, 1998",$311.40 oz,$309.65 oz
"April 28, 1998",$308.60 oz,$308.45 oz
"April 29, 1998",$307.55 oz,$308.25 oz
"April 30, 1998",$310.70 oz,$310.70 oz
"May 1, 1998",$306.10 oz,$306.90 oz
"May 5, 1998",$304.20 oz,$303.80 oz
"May 6, 1998",$303.50 oz,$301.00 oz
"May 7, 1998",$299.00 oz,$298.10 oz
"May 8, 1998",$299.15 oz,$300.40 oz
"May 11, 1998",$299.00 oz,$298.90 oz
"May 12, 1998",$299.90 oz,$299.35 oz
"May 13, 1998",$295.60 oz,$299.10 oz
"May 14, 1998",$296.90 oz,$296.15 oz
"May 15, 1998",$302.30 oz,$300.90 oz
"May 18, 1998",$299.70 oz,$300.30 oz
"May 19, 1998",$299.00 oz,$299.70 oz
"May 20, 1998",$298.10 oz,$299.60 oz
"May 21, 1998",$300.05 oz,$300.60 oz
"May 22, 1998",$300.70 oz,$299.80 oz
"May 26, 1998",$298.85 oz,$297.95 oz
"May 27, 1998",$292.60 oz,$292.75 oz
"May 28, 1998",$293.40 oz,$294.00 oz
"May 29, 1998",$292.40 oz,$293.60 oz
"June 1, 1998",$292.35 oz,$288.75 oz
"June 2, 1998",$289.20 oz,$291.45 oz
