DATE,Daily Gold Price LBMA AM FIX,Daily Gold Price LBMA PM FIX
"January 2, 2018","$1,312.80","$1,312.05"
"January 3, 2018","$1,314.60","$1,314.90"
"January 4, 2018","$1,313.70","$1,314.50"
"January 5, 2018","$1,317.90","$1,317.15"
"January 8, 2018","$1,318.80","$1,319.95"
"January 9, 2018","$1,314.95","$1,311.00"
"January 10, 2018","$1,321.65","$1,319.75"
"January 11, 2018","$1,319.85","$1,323.05"
"January 12, 2018","$1,332.90","$1,326.80"
"January 15, 2018","$1,343.00","$1,339.25"
"January 16, 2018","$1,334.95","$1,333.85"
"January 17, 2018","$1,337.35","$1,335.65"
"January 18, 2018","$1,329.75","$1,332.20"
"January 19, 2018","$1,335.80","$1,334.95"
"January 22, 2018","$1,334.15","$1,332.60"
"January 23, 2018","$1,337.10","$1,333.40"
"January 24, 2018","$1,350.50","$1,353.70"
"January 25, 2018","$1,360.25","$1,354.95"
"January 26, 2018","$1,354.35","$1,353.15"
"January 29, 2018","$1,348.40","$1,343.85"
"January 30, 2018","$1,345.70","$1,344.90"
"January 31, 2018","$1,343.35","$1,345.05"
"February 1, 2018","$1,341.10","$1,341.35"
"February 2, 2018","$1,345.00","$1,331.15"
"February 5, 2018","$1,337.10","$1,333.60"
"February 6, 2018","$1,344.65","$1,331.40"
"February 7, 2018","$1,328.50","$1,324.65"
"February 8, 2018","$1,311.05","$1,315.45"
"February 9, 2018","$1,316.05","$1,314.10"
"February 12, 2018","$1,321.70","$1,322.30"
"February 13, 2018","$1,329.40","$1,325.35"
"February 14, 2018","$1,330.75","$1,336.25"
"February 15, 2018","$1,353.70","$1,352.45"
"February 16, 2018","$1,358.60","$1,352.10"
"February 19, 2018","$1,347.40","$1,346.60"
"February 20, 2018","$1,337.40","$1,339.85"
"February 21, 2018","$1,328.60","$1,330.50"
"February 22, 2018","$1,323.50","$1,328.35"
"February 23, 2018","$1,328.90","$1,327.95"
"February 26, 2018","$1,339.05","$1,333.50"
"February 27, 2018","$1,332.75","$1,325.75"
"February 28, 2018","$1,320.30","$1,317.85"
"March 1, 2018","$1,311.25","$1,307.75"
"March 2, 2018","$1,316.75","$1,322.30"
"March 5, 2018","$1,326.30","$1,320.40"
"March 6, 2018","$1,324.95","$1,331.40"
"March 7, 2018","$1,332.50","$1,329.40"
"March 8, 2018","$1,325.40","$1,321.00"
"March 9, 2018","$1,319.35","$1,320.60"
"March 12, 2018","$1,317.25","$1,319.15"
"March 13, 2018","$1,318.70","$1,322.75"
"March 14, 2018","$1,324.95","$1,323.55"
"March 15, 2018","$1,323.35","$1,318.75"
"March 16, 2018","$1,320.05","$1,310.10"
"March 19, 2018","$1,311.70","$1,312.40"
"March 20, 2018","$1,312.75","$1,311.00"
"March 21, 2018","$1,316.35","$1,321.35"
"March 22, 2018","$1,328.85","$1,329.15"
"March 23, 2018","$1,342.35","$1,346.60"
"March 26, 2018","$1,348.40","$1,352.40"
"March 27, 2018","$1,350.65","$1,341.45"
"March 28, 2018","$1,341.05","$1,332.45"
"March 29, 2018","$1,323.90","$1,323.85"
"April 3, 2018","$1,336.60","$1,333.45"
"April 4, 2018","$1,343.15","$1,337.30"
"April 5, 2018","$1,327.05","$1,327.70"
"April 6, 2018","$1,325.60","$1,331.20"
"April 9, 2018","$1,328.50","$1,331.95"
"April 10, 2018","$1,335.95","$1,338.95"
"April 11, 2018","$1,345.20","$1,350.75"
"April 12, 2018","$1,345.90","$1,341.35"
"April 13, 2018","$1,340.75","$1,343.70"
"April 16, 2018","$1,344.40","$1,349.35"
"April 17, 2018","$1,342.95","$1,342.10"
"April 18, 2018","$1,346.55","$1,351.45"
"April 19, 2018","$1,347.90","$1,348.60"
"April 20, 2018","$1,340.15","$1,336.75"
"April 23, 2018","$1,328.00","$1,324.30"
"April 24, 2018","$1,327.35","$1,328.85"
"April 25, 2018","$1,325.70","$1,321.65"
"April 26, 2018","$1,321.90","$1,320.70"
"April 27, 2018","$1,317.70","$1,321.50"
"April 30, 2018","$1,316.25","$1,313.20"
"May 1, 2018","$1,309.20","$1,307.10"
"May 2, 2018","$1,310.75","$1,304.20"
"May 3, 2018","$1,313.30","$1,315.05"
"May 4, 2018","$1,309.35","$1,309.40"
"May 8, 2018","$1,310.05","$1,306.60"
"May 9, 2018","$1,306.85","$1,313.85"
"May 10, 2018","$1,314.80","$1,318.80"
"May 11, 2018","$1,324.80","$1,324.35"
"May 14, 2018","$1,320.70","$1,319.85"
"May 15, 2018","$1,310.05","$1,295.00"
"May 16, 2018","$1,291.75","$1,291.25"
"May 17, 2018","$1,288.85","$1,289.50"
"May 18, 2018","$1,287.20","$1,288.30"
"May 21, 2018","$1,285.85","$1,288.35"
"May 22, 2018","$1,293.90","$1,293.05"
"May 23, 2018","$1,294.00","$1,289.00"
"May 24, 2018","$1,296.35","$1,304.85"
"May 25, 2018","$1,303.95","$1,303.50"
"May 29, 2018","$1,302.05","$1,295.50"
"May 30, 2018","$1,298.60","$1,300.70"
"May 31, 2018","$1,303.50","$1,305.35"
"June 1, 2018","$1,299.15","$1,294.60"
"June 4, 2018","$1,294.65","$1,295.45"
"June 5, 2018","$1,292.25","$1,292.05"
"June 6, 2018","$1,295.25","$1,300.10"
"June 7, 2018","$1,298.30","$1,297.25"
"June 8, 2018","$1,299.20","$1,298.25"
"June 11, 2018","$1,296.05","$1,299.60"
"June 12, 2018","$1,298.30","$1,298.65"
"June 13, 2018","$1,294.40","$1,296.15"
"June 14, 2018","$1,305.30","$1,302.75"
"June 15, 2018","$1,300.10","$1,285.25"
"June 18, 2018","$1,281.25","$1,281.55"
"June 19, 2018","$1,279.00","$1,276.15"
"June 20, 2018","$1,273.25","$1,274.20"
"June 21, 2018","$1,263.70","$1,266.15"
"June 22, 2018","$1,269.70","$1,269.15"
"June 25, 2018","$1,269.80","$1,268.70"
"June 26, 2018","$1,257.15","$1,260.30"
"June 27, 2018","$1,256.80","$1,254.60"
"June 28, 2018","$1,250.50","$1,251.55"
"June 29, 2018","$1,250.55","$1,250.45"
"July 2, 2018","$1,249.00","$1,247.80"
"July 3, 2018","$1,245.85","$1,251.75"
"July 4, 2018","$1,256.90","$1,255.65"
"July 5, 2018","$1,252.50","$1,255.50"
"July 6, 2018","$1,254.20","$1,255.35"
"July 9, 2018","$1,262.60","$1,262.05"
"July 10, 2018","$1,253.70","$1,254.00"
"July 11, 2018","$1,250.00","$1,251.40"
"July 12, 2018","$1,244.85","$1,245.90"
"July 13, 2018","$1,240.50","$1,241.70"
"July 16, 2018","$1,244.90","$1,241.10"
"July 17, 2018","$1,243.65","$1,232.80"
"July 18, 2018","$1,223.45","$1,224.50"
"July 19, 2018","$1,217.40","$1,217.55"
"July 20, 2018","$1,224.85","$1,228.75"
"July 23, 2018","$1,229.45","$1,224.95"
"July 24, 2018","$1,224.30","$1,228.35"
"July 25, 2018","$1,230.55","$1,231.50"
"July 26, 2018","$1,228.35","$1,228.25"
"July 27, 2018","$1,219.15","$1,223.95"
"July 30, 2018","$1,222.05","$1,223.80"
"July 31, 2018","$1,219.20","$1,220.95"
"August 1, 2018","$1,222.75","$1,219.00"
"August 2, 2018","$1,217.60","$1,215.45"
"August 3, 2018","$1,207.70","$1,216.30"
"August 6, 2018","$1,212.00","$1,209.65"
"August 7, 2018","$1,215.40","$1,212.35"
"August 8, 2018","$1,212.35","$1,209.55"
"August 9, 2018","$1,215.50","$1,214.35"
"August 10, 2018","$1,211.65","$1,214.40"
"August 13, 2018","$1,204.40","$1,200.35"
"August 14, 2018","$1,195.30","$1,197.00"
"August 15, 2018","$1,186.70","$1,182.00"
"August 16, 2018","$1,179.65","$1,180.40"
"August 17, 2018","$1,176.70","$1,178.40"
"August 20, 2018","$1,188.75","$1,184.35"
"August 21, 2018","$1,194.10","$1,190.95"
"August 22, 2018","$1,196.85","$1,196.65"
"August 23, 2018","$1,187.30","$1,192.35"
"August 24, 2018","$1,189.95","$1,197.70"
"August 28, 2018","$1,212.75","$1,212.25"
"August 29, 2018","$1,204.30","$1,204.20"
"August 30, 2018","$1,202.35","$1,197.30"
"August 31, 2018","$1,206.85","$1,202.45"
"September 3, 2018","$1,201.70","$1,200.05"
"September 4, 2018","$1,195.75","$1,190.85"
"September 5, 2018","$1,194.70","$1,196.70"
"September 6, 2018","$1,204.30","$1,205.15"
"September 7, 2018","$1,200.75","$1,198.90"
"September 10, 2018","$1,195.80","$1,196.60"
"September 11, 2018","$1,194.00","$1,189.85"
"September 12, 2018","$1,197.80","$1,195.60"
"September 13, 2018","$1,206.65","$1,209.80"
"September 14, 2018","$1,206.20","$1,201.95"
"September 17, 2018","$1,196.80","$1,201.90"
"September 18, 2018","$1,199.40","$1,200.20"
"September 19, 2018","$1,203.00","$1,203.30"
"September 20, 2018","$1,203.00","$1,208.35"
"September 21, 2018","$1,207.60","$1,198.70"
"September 24, 2018","$1,198.75","$1,202.75"
"September 25, 2018","$1,199.45","$1,201.90"
"September 26, 2018","$1,198.80","$1,194.25"
"September 27, 2018","$1,196.00","$1,185.40"
"September 28, 2018","$1,183.50","$1,187.25"
"October 1, 2018","$1,185.30","$1,189.35"
"October 2, 2018","$1,192.65","$1,204.70"
"October 3, 2018","$1,203.50","$1,201.20"
"October 4, 2018","$1,199.45","$1,203.45"
"October 5, 2018","$1,201.10","$1,203.80"
"October 8, 2018","$1,194.80","$1,186.95"
"October 9, 2018","$1,187.40","$1,185.55"
"October 10, 2018","$1,186.40","$1,188.60"
"October 11, 2018","$1,201.10","$1,205.55"
"October 12, 2018","$1,218.75","$1,219.75"
"October 15, 2018","$1,233.00","$1,229.95"
"October 16, 2018","$1,228.85","$1,230.70"
"October 17, 2018","$1,226.75","$1,229.05"
"October 18, 2018","$1,224.60","$1,223.00"
"October 19, 2018","$1,228.25","$1,227.85"
"October 22, 2018","$1,222.90","$1,222.30"
"October 23, 2018","$1,235.60","$1,235.95"
"October 24, 2018","$1,231.65","$1,230.55"
"October 25, 2018","$1,232.15","$1,230.80"
"October 26, 2018","$1,236.05","$1,233.85"
"October 29, 2018","$1,230.75","$1,230.80"
"October 30, 2018","$1,220.00","$1,225.40"
"October 31, 2018","$1,217.70","$1,214.95"
"November 1, 2018","$1,223.25","$1,231.15"
"November 2, 2018","$1,235.50","$1,232.10"
"November 5, 2018","$1,231.60","$1,232.25"
"November 6, 2018","$1,234.85","$1,231.60"
"November 7, 2018","$1,235.05","$1,229.95"
