"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 20","1,925.01","1,882.48","1,927.55","1,872.98","109.12M","2.26%"
"Sep 20","1,882.48","1,971.54","2,024.49","1,769.01","144.64M","-4.52%"
"Aug 20","1,971.54","1,832.00","1,982.98","1,815.32","190.83M","8.10%"
"Jul 20","1,823.83","1,655.42","1,862.61","1,652.66","200.97M","10.17%"
"Jun 20","1,655.42","1,569.52","1,681.42","1,545.22","201.38M","5.50%"
"May 20","1,569.14","1,458.14","1,573.13","1,436.12","337.65M","4.91%"
"Apr 20","1,495.66","1,241.96","1,509.85","1,218.63","254.62M","17.76%"
"Mar 20","1,270.08","1,362.22","1,432.18","1,124.32","268.07M","-5.83%"
"Feb 20","1,348.72","1,428.58","1,730.00","1,311.57","3.03B","-5.23%"
"Jan 20","1,423.22","1,403.58","1,451.18","1,381.24","3.09B","2.14%"
"Dec 19","1,393.40","1,377.84","1,413.12","1,342.44","3.03B","1.26%"
"Nov 19","1,376.07","1,357.03","1,387.90","1,347.42","3.49B","1.96%"
"Oct 19","1,349.63","1,330.12","1,369.56","1,278.68","3.11B","1.85%"
"Sep 19","1,325.11","1,317.74","1,374.17","1,307.99","3.60B","0.03%"
"Aug 19","1,324.76","1,337.90","1,353.50","1,257.53","4.54B","-0.75%"
"Jul 19","1,334.82","1,355.61","1,410.37","1,322.66","3.36B","-0.51%"
"Jun 19","1,341.63","1,250.53","1,359.83","1,225.36","3.55B","7.00%"
"May 19","1,253.89","1,348.50","1,355.48","1,250.75","3.84B","-6.85%"
"Apr 19","1,346.04","1,293.17","1,357.27","1,290.52","3.67B","4.82%"
"Mar 19","1,284.12","1,245.37","1,293.89","1,197.77","4.24B","3.94%"
"Feb 19","1,235.40","1,203.85","1,245.67","1,183.94","3.39B","0.82%"
"Jan 19","1,225.40","1,093.48","1,229.86","1,091.37","4.15B","10.11%"
"Dec 18","1,112.90","1,250.97","1,253.41","1,015.92","4.26B","-8.96%"
"Nov 18","1,222.40","1,216.62","1,295.88","1,115.11","4.41B","0.99%"
"Oct 18","1,210.46","1,378.66","1,383.37","1,159.37","4.60B","-11.55%"
"Sep 18","1,368.55","1,363.50","1,377.31","1,333.48","3.66B","0.62%"
"Aug 18","1,360.10","1,253.00","1,362.16","1,243.34","4.85B","8.56%"
"Jul 18","1,252.90","1,218.63","1,292.19","1,214.72","3.70B","2.11%"
"Jun 18","1,227.03","1,174.92","1,265.56","1,174.20","5.14B","4.74%"
"May 18","1,171.45","1,137.16","1,182.69","1,117.45","4.82B","2.64%"
"Apr 18","1,141.34","1,083.98","1,159.58","1,045.23","4.28B","4.22%"
"Mar 18","1,095.14","1,130.51","1,159.73","1,067.10","5.54B","-3.02%"
"Feb 18","1,129.19","1,163.47","1,170.55","1,038.18","4.94B","-3.53%"
"Jan 18","1,170.56","1,042.54","1,194.02","1,042.54","4.98B","12.85%"
"Dec 17","1,037.30","1,011.02","1,045.52","993.66","4.47B","2.36%"
"Nov 17","1,013.38","937.57","1,017.84","932.48","5.75B","8.16%"
"Oct 17","936.95","915.86","941.66","911.18","5.26B","2.45%"
"Sep 17","914.53","890.90","923.86","888.58","5.00B","2.98%"
"Aug 17","888.08","911.58","915.23","869.61","6.41B","-2.20%"
"Jul 17","908.04","898.32","921.99","874.66","5.29B","1.46%"
"Jun 17","894.97","921.96","934.11","886.90","7.36B","-2.70%"
"May 17","919.80","914.71","929.24","900.15","5.95B","0.76%"
"Apr 17","912.83","888.42","921.08","878.54","4.59B","2.81%"
"Mar 17","887.85","889.06","890.99","863.50","5.92B","0.76%"
"Feb 17","881.19","858.65","893.87","849.41","5.02B","2.63%"
"Jan 17","858.60","850.39","873.18","845.11","5.38B","1.62%"
"Dec 16","844.95","845.04","878.05","842.58","4.54B","-0.12%"
"Nov 16","845.99","824.04","862.52","799.65","1.46B","2.82%"
"Oct 16","822.80","850.06","853.10","815.80","1.21B","-3.46%"
"Sep 16","852.26","860.25","865.78","828.46","1.33B","-0.87%"
"Aug 16","859.70","875.01","888.82","855.79","1.35B","-1.80%"
"Jul 16","875.48","842.01","877.03","839.40","1.15B","4.12%"
"Jun 16","840.83","837.22","844.91","804.29","1.57B","0.38%"
"May 16","837.67","828.75","845.91","803.14","1.51B","1.26%"
"Apr 16","827.27","834.29","845.85","815.78","1.22B","-1.01%"
"Mar 16","835.75","790.88","840.53","790.88","1.37B","5.90%"
"Feb 16","789.16","792.30","801.44","719.92","1.45B","-0.50%"
"Jan 16","793.10","836.22","836.22","743.82","1.49B","-5.43%"
"Dec 15","838.67","837.94","854.47","817.92","1.36B","0.22%"
"Nov 15","836.79","828.61","848.97","788.77","1.31B","1.02%"
"Oct 15","828.33","789.08","833.05","778.91","1.40B","5.04%"
"Sep 15","788.62","801.92","830.35","769.29","1.39B","-2.18%"
"Aug 15","806.19","847.72","855.35","741.46","1.41B","-4.85%"
"Jul 15","847.27","800.27","853.72","798.37","1.15B","6.04%"
"Jun 15","799.02","804.85","822.84","792.49","1.22B","-0.69%"
"May 15","804.55","794.22","820.37","792.34","1.03B","1.40%"
"Apr 15","793.43","812.20","827.77","790.60","1.00B","-2.31%"
"Mar 15","812.23","807.57","825.92","792.27","1.18B","0.62%"
"Feb 15","807.23","760.77","811.10","749.51","1.03B","6.13%"
"Jan 15","760.63","757.24","772.43","730.65","1.14B","0.62%"
"Dec 14","755.96","736.78","764.43","719.88","1.30B","2.46%"
