DATE,NYT_sentiment,gas_prices,consumer_sentiments,unemployment_rate,CPI,retail_index,Consumer_debt_service,GDP_growth,sales,GDP,close
11/1/1992,0.8121,1.1112,85.3,7.4,-3.664765649,91.12,4.660212,4.4,-18182.99304,-576.1094475,339.5
11/1/1993,0.762175,1.0664,81.2,6.6,-4.077295268,96.43,4.755414,2.6,-15860.78098,-676.8040249,363.25
11/1/1994,0.6671,1.11575,91.6,5.6,-4.587534408,89.19,5.120072,4.1,-12429.20455,-618.354534,384.5
11/1/1995,0.485533333,1.06225,88.2,5.6,-4.990644281,85.37,5.594352,2.2,-14721.98639,-742.9789037,381.95
11/1/1996,0.7226,1.23225,99.2,5.4,-4.278918891,87.88,5.777011,4.4,-14186.08089,-621.6695916,377.6
11/1/1997,0.85595,1.17075,107.2,4.6,-5.541533087,97.81,5.705666,4.5,-15907.2412,-467.9526933,313.8
11/1/1998,0.348533333,0.9954,102.7,4.4,-7.364987396,96.18,5.761093,4.9,-14045.35416,-239.8477611,292.7
11/1/1999,0.3739,1.2514,107.2,4.1,-7.232318885,101.91,5.95983,4.8,-4767.36459,15.52712332,291.35
11/1/2000,0.3271,1.51725,107.6,3.9,-5.521961505,115.1,6.341266,3,-4842.438969,73.97078305,265.5
11/1/2001,-0.16125,1.1705,83.9,5.5,-6.207829007,115.55,6.712248,0.2,-4182.764165,-216.9416633,280.6
11/1/2002,0.5859,1.419,84.2,5.9,-6.060383917,106.5,6.502536,2.1,-10241.50053,-234.4213287,319.85
11/1/2003,0.5789,1.512,93.7,5.8,-6.246208867,90.28,6.371153,4.3,-4139.194174,74.69626212,383.25
11/1/2004,0.05795,1.9794,92.8,5.4,-3.028098749,81.82,6.237751,3.3,5678.009712,282.280098,428.85
11/1/2005,0.408385714,2.25675,81.6,5,0.135055426,91.51,6.10349,3.1,15391.55295,505.8464827,459.5
11/1/2006,0.041875,2.22925,92.1,4.5,1.086255206,82.85,5.919763,2.6,18748.32859,688.9832945,614.1
11/1/2007,0.085457143,3.08,76.1,4.7,7.302417732,76.17,6.00891,2,30654.60998,814.9402581,790.25
11/1/2008,0.41938,2.147,55.3,6.8,7.376781235,86.705,5.86467,-2.8,-14172.04726,231.7514834,729.5
11/1/2009,0.29765,2.6514,67.4,9.9,9.624019936,74.935,5.417978,0.2,-12957.24661,141.5787426,1062
11/1/2010,0.37835,2.859,71.6,9.8,10.59019756,81.271,5.027983,2.6,4820.265943,450.0539634,1354.5
11/1/2011,0,3.38375,63.7,8.6,17.25036284,78.491,5.013645,1.6,24356.84272,650.5345867,1699
11/1/2012,0.149275,3.45175,82.7,7.7,20.90294561,80.163,4.877597,1.5,36892.82336,866.3517696,1716.25
11/1/2013,0.4582,3.24275,75.1,6.9,23.82759424,80.657,5.210367,2.6,47667.32448,1305.727085,1306.75
11/1/2014,0.115883333,2.91225,88.8,5.8,27.28189276,88.413,5.296709,2.9,66604.40469,1833.807636,1167.75
11/1/2015,0.388111111,2.158,91.3,5.1,29.36653295,100.21,5.399252,2.2,73353.33051,2286.283447,1134
11/1/2016,0,2.1815,93.8,4.7,34.8371554,101.539,5.59175,2.1,87065.74071,2760.399412,1288.45
11/1/2017,0.49942,2.5635,98.5,4.2,42.06204665,93.002,5.576678,2.7,116289.4282,3382.556497,1277.05
11/1/2018,0.327625,2.64725,97.5,3.7,49.59071997,97.196,5.52013,2.5,136264.7699,3997.48942,1231.15
11/1/2019,0,2.59775,96.8,3.5,57.16539988,98.202,5.614131,2.3,155602.4617,4612.023799,1461.23
12/1/1992,0.458857143,1.0775,91,7.4,-55.86568331,93.87,4.660212,4.4,-143836.9658,-4628.850176,334.65
12/1/1993,0.50055,1.014,88.2,6.5,-49.46102764,97.46,4.755414,2.6,-125760.2338,-4202.521831,373.1
12/1/1994,0.366666667,1.0905,95.1,5.5,-43.47821515,88.69,5.120072,4.1,-107366.1652,-3636.164463,380.1
12/1/1995,-0.133071429,1.07125,91,5.6,-37.81991468,84.83,5.594352,2.2,-93826.98285,-3280.121789,386.2
12/1/1996,0.378528571,1.2352,96.9,5.4,-31.16162123,87.86,5.777011,4.4,-79945.80565,-2711.625927,370.75
12/1/1997,0.3624,1.1314,102.1,4.7,-27.45519233,99.57,5.705666,4.5,-69531.11071,-2148.856915,294.35
12/1/1998,0.684171429,0.945,100.5,4.4,-24.3330095,93.96,5.761093,4.9,-54482.40899,-1553.182027,293.3
12/1/1999,0.393728571,1.2725,105.4,4,-19.91029476,101.53,5.95983,4.8,-32070.75453,-974.0165023,289.15
12/1/2000,0.1875125,1.44275,98.4,3.9,-14.58706202,109.28,6.341266,3,-27909.14982,-637.0378397,269.2
12/1/2001,-0.107625,1.086,88.8,5.7,-12.75088124,117.21,6.712248,0.2,-24116.55318,-695.5287782,276.35
12/1/2002,0.138055556,1.3858,86.7,6,-9.780205454,102.26,6.502536,2.1,-17873.47966,-527.1139085,316.45
12/1/2003,0.400457143,1.4788,92.6,5.7,-7.945518424,87.26,6.371153,4.3,-10306.3715,-78.74311548,400.25
12/1/2004,0.58515,1.841,97.1,5.4,-4.011191263,81,6.237751,3.3,6826.500005,221.5211621,452.85
12/1/2005,0.909933333,2.185,91.5,4.9,-0.236629142,90.96,6.10349,3.1,14695.30502,491.3597,499.75
12/1/2006,0.155633333,2.31275,91.7,4.4,1.821269765,83.43,5.919763,2.6,21482.94717,674.562823,648.75
12/1/2007,0.151166667,3.0184,75.5,5,6.950755174,76.7,6.00891,2,23554.14551,754.5917564,784.25
12/1/2008,0.27562,1.687,60.1,7.3,3.456938511,82.15,5.86467,-2.8,-26505.80776,79.70112341,778
12/1/2009,0.523625,2.60725,72.5,9.9,5.765586977,78.22,5.417978,0.2,-20602.34178,-147.6890723,1192.5
12/1/2010,0.144425,2.993,74.5,9.3,5.092307189,79.288,5.027983,2.6,-8292.319532,-21.59364058,1385.5
12/1/2011,0.1424375,3.26575,69.9,8.5,7.919102271,80.522,5.013645,1.6,2456.27243,-48.12108529,1752
12/1/2012,0.382016667,3.3104,72.9,7.9,7.895792653,79.871,4.877597,1.5,6906.630272,-103.1114145,1720
12/1/2013,-0.298725,3.2764,82.5,6.7,7.29924933,80.189,5.210367,2.6,8986.414982,22.92243958,1229.5
12/1/2014,0.245875,2.5426,93.6,5.6,4.683408423,90.647,5.296709,2.9,10382.97091,196.9989892,1194
12/1/2015,-0.4215,2.0375,92.6,5,2.003644025,98.745,5.399252,2.2,8444.025888,257.4814201,1065.4
12/1/2016,0.30265,2.25425,98.2,4.7,2.737403097,102.286,5.59175,2.1,13296.8184,305.3107939,1161.85
12/1/2017,0,2.47675,95.9,4.1,3.636880324,91.826,5.576678,2.7,23557.30941,471.852246,1275.5
12/1/2018,0.3466,2.3656,98.3,3.9,4.197559511,95.735,5.52013,2.5,14725.14937,608.3390927,1230.3
12/1/2019,0.222725,2.555,99.3,3.5,5.739651416,96.058,5.614131,2.3,28358.26541,729.9147427,1557.97
