year,month,close
1992,1,350.9
1992,2,356.4
1992,3,350.45
1992,4,344.0
1992,5,337.5
1992,6,336.85
1992,7,343.55
1992,8,354.05
1992,9,341.7
1992,10,348.55
1992,11,339.5
1992,12,334.65
1993,1,328.25
1993,2,329.75
1993,3,328.5
1993,4,336.35
1993,5,356.15
1993,6,377.35
1993,7,379.0
1993,8,405.6
1993,9,369.05
1993,10,354.0
1993,11,363.25
1993,12,373.1
1994,1,394.1
1994,2,381.65
1994,3,381.3
1994,4,384.75
1994,5,375.1
1994,6,386.3
1994,7,384.6
1994,8,383.85
1994,9,386.0
1994,10,393.15
1994,11,384.5
1994,12,380.1
1995,1,380.9
1995,2,376.25
1995,3,375.7
1995,4,392.3
1995,5,387.2
1995,6,383.5
1995,7,384.5
1995,8,382.85
1995,9,381.5
1995,10,383.25
1995,11,381.95
1995,12,386.2
1996,1,389.15
1996,2,409.1
1996,3,398.35
1996,4,394.2
1996,5,392.3
1996,6,390.7
1996,7,381.55
1996,8,386.25
1996,9,386.55
1996,10,378.65
1996,11,377.6
1996,12,370.75
1997,1,366.55
1997,2,344.3
1997,3,362.15
1997,4,350.0
1997,5,339.25
1997,6,343.9
1997,7,333.7
1997,8,324.1
1997,9,324.5
1997,10,337.15
1997,11,313.8
1997,12,294.35
1998,1,288.0
1998,2,301.5
1998,3,298.35
1998,4,301.0
1998,5,306.9
1998,6,288.75
1998,7,296.8
1998,8,286.15
1998,9,279.0
1998,10,297.6
1998,11,292.7
1998,12,293.3
1999,1,287.15
1999,2,286.9
1999,3,286.7
1999,4,280.55
1999,5,285.3
1999,6,266.85
1999,7,262.6
1999,8,255.35
1999,9,254.7
1999,10,307.5
1999,11,291.35
1999,12,289.15
2000,1,281.5
2000,2,283.0
2000,3,292.9
2000,4,277.5
2000,5,275.45
2000,6,272.5
2000,7,287.65
2000,8,277.6
2000,9,277.0
2000,10,273.1
2000,11,265.5
2000,12,269.2
2001,1,271.1
2001,2,267.65
2001,3,266.35
2001,4,255.95
2001,5,264.0
2001,6,265.4
2001,7,268.35
2001,8,267.35
2001,9,273.35
2001,10,290.6
2001,11,280.6
2001,12,276.35
2002,1,278.35
2002,2,283.9
2002,3,295.4
2002,4,304.0
2002,5,308.35
2002,6,322.0
2002,7,312.1
2002,8,302.25
2002,9,312.0
2002,10,321.75
2002,11,319.85
2002,12,316.45
2003,1,343.8
2003,2,369.5
2003,3,345.5
2003,4,334.35
2003,5,341.2
2003,6,364.75
2003,7,350.2
2003,8,352.35
2003,9,376.25
2003,10,383.5
2003,11,383.25
2003,12,400.25
2004,1,415.25
2004,2,398.35
2004,3,400.0
2004,4,427.25
2004,5,391.25
2004,6,397.2
2004,7,394.8
2004,8,391.5
2004,9,407.65
2004,10,418.1
2004,11,428.85
2004,12,452.85
2005,1,427.75
2005,2,420.9
2005,3,433.45
2005,4,427.15
2005,5,427.9
2005,6,415.35
2005,7,432.6
2005,8,431.65
2005,9,439.6
2005,10,466.1
2005,11,459.5
2005,12,499.75
2006,1,530.0
2006,2,568.25
2006,3,564.25
2006,4,587.0
2006,5,661.0
2006,6,625.0
2006,7,622.95
2006,8,637.25
2006,9,621.05
2006,10,600.6
2006,11,614.1
2006,12,648.75
2007,1,639.75
2007,2,660.2
2007,3,670.4
2007,4,658.25
2007,5,673.6
2007,6,666.5
2007,7,654.75
2007,8,665.75
2007,9,672.0
2007,10,742.5
2007,11,790.25
2007,12,784.25
2008,1,846.75
2008,2,914.75
2008,3,988.5
2008,4,887.75
2008,5,853.0
2008,6,888.25
2008,7,937.5
2008,8,912.5
2008,9,822.25
2008,10,880.0
2008,11,729.5
2008,12,778.0
2009,1,874.5
2009,2,918.25
2009,3,937.25
2009,4,924.5
2009,5,884.5
2009,6,981.75
2009,7,938.25
2009,8,959.75
2009,9,955.0
2009,10,1004.75
2009,11,1062.0
2009,12,1192.5
2010,1,1121.5
2010,2,1086.5
2010,3,1114.0
2010,4,1123.5
2010,5,1185.0
2010,6,1227.75
2010,7,1234.0
2010,8,1188.5
2010,9,1246.5
2010,10,1316.25
2010,11,1354.5
2010,12,1385.5
2011,1,1388.5
2011,2,1331.5
2011,3,1420.75
2011,4,1418.0
2011,5,1540.25
2011,6,1533.75
2011,7,1483.0
2011,8,1623.0
2011,9,1821.0
2011,10,1655.5
2011,11,1699.0
2011,12,1752.0
2012,1,1598.0
2012,2,1740.0
2012,3,1714.0
2012,4,1677.5
2012,5,1664.0
2012,6,1606.0
2012,7,1592.0
2012,8,1599.0
2012,9,1691.5
2012,10,1787.0
2012,11,1716.25
2012,12,1720.0
2013,1,1693.75
2013,2,1669.0
2013,3,1582.25
2013,4,1583.5
2013,5,1454.75
2013,6,1402.5
2013,7,1242.75
2013,8,1315.0
2013,9,1392.25
2013,10,1290.75
2013,11,1306.75
