DATE,Consumer_debt_service
1/1/1992,4.867179
4/1/1992,4.774439
7/1/1992,4.702399
10/1/1992,4.660212
1/1/1993,4.652557
4/1/1993,4.648903
7/1/1993,4.705303
10/1/1993,4.755414
1/1/1994,4.831917
4/1/1994,4.924236
7/1/1994,5.035871
10/1/1994,5.120072
1/1/1995,5.248012
4/1/1995,5.394652
7/1/1995,5.523088
10/1/1995,5.594352
1/1/1996,5.653204
4/1/1996,5.675422
7/1/1996,5.712678
10/1/1996,5.777011
1/1/1997,5.725713
4/1/1997,5.703414
7/1/1997,5.718448
10/1/1997,5.705666
1/1/1998,5.62861
4/1/1998,5.672466
7/1/1998,5.687028
10/1/1998,5.761093
1/1/1999,5.806999
4/1/1999,5.908707
7/1/1999,5.984194
10/1/1999,5.95983
1/1/2000,5.937885
4/1/2000,6.043636
7/1/2000,6.177682
10/1/2000,6.341266
1/1/2001,6.447079
4/1/2001,6.594093
7/1/2001,6.560403
10/1/2001,6.712248
1/1/2002,6.616872
4/1/2002,6.56623
7/1/2002,6.559268
10/1/2002,6.502536
1/1/2003,6.47563
4/1/2003,6.439334
7/1/2003,6.356244
10/1/2003,6.371153
1/1/2004,6.363538
4/1/2004,6.293786
7/1/2004,6.315101
10/1/2004,6.237751
1/1/2005,6.31672
4/1/2005,6.266759
7/1/2005,6.199887
10/1/2005,6.10349
1/1/2006,6.085338
4/1/2006,5.979546
7/1/2006,5.934614
10/1/2006,5.919763
1/1/2007,5.904845
4/1/2007,5.935682
7/1/2007,5.976007
10/1/2007,6.00891
1/1/2008,5.999377
4/1/2008,5.845244
7/1/2008,5.883152
10/1/2008,5.86467
1/1/2009,5.82438
4/1/2009,5.630329
7/1/2009,5.574551
10/1/2009,5.417978
1/1/2010,5.304477
4/1/2010,5.139247
7/1/2010,5.038337
10/1/2010,5.027983
1/1/2011,5.061776
4/1/2011,5.04558
7/1/2011,5.015766
10/1/2011,5.013645
1/1/2012,4.927077
4/1/2012,4.909409
7/1/2012,4.986934
10/1/2012,4.877597
1/1/2013,5.136006
4/1/2013,5.157126
7/1/2013,5.177715
10/1/2013,5.210367
1/1/2014,5.211632
4/1/2014,5.228676
7/1/2014,5.258522
10/1/2014,5.296709
1/1/2015,5.315874
4/1/2015,5.389657
7/1/2015,5.462385
10/1/2015,5.399252
1/1/2016,5.386807
4/1/2016,5.478076
7/1/2016,5.552613
10/1/2016,5.59175
1/1/2017,5.573853
4/1/2017,5.56875
7/1/2017,5.565693
10/1/2017,5.576678
1/1/2018,5.522311
4/1/2018,5.488415
7/1/2018,5.50347
10/1/2018,5.52013
1/1/2019,5.531891
4/1/2019,5.580188
7/1/2019,5.597518
10/1/2019,5.614131
1/1/2020,5.573004
4/1/2020,4.972469
