Date,Gold Price Fix AM in US dollars per troy ounce,Gold Price Fix PM in US dollars per troy ounce
"January 2, 2002",$278.10 oz,$278.35 oz
"January 3, 2002",$278.65 oz,$278.80 oz
"January 4, 2002",$278.95 oz,$277.75 oz
"January 7, 2002",$279.65 oz,$278.60 oz
"January 8, 2002",$278.20 oz,$278.60 oz
"January 9, 2002",$279.35 oz,$281.10 oz
"January 10, 2002",$287.00 oz,$286.85 oz
"January 11, 2002",$286.60 oz,$285.75 oz
"January 14, 2002",$286.40 oz,$286.35 oz
"January 15, 2002",$283.85 oz,$284.20 oz
"January 16, 2002",$287.95 oz,$284.60 oz
"January 17, 2002",$285.15 oz,$285.00 oz
"January 18, 2002",$283.70 oz,$283.20 oz
"January 21, 2002",$282.65 oz,$282.30 oz
"January 22, 2002",$283.35 oz,$282.05 oz
"January 23, 2002",$281.60 oz,$280.75 oz
"January 24, 2002",$279.05 oz,$279.20 oz
"January 25, 2002",$279.00 oz,$279.00 oz
"January 28, 2002",$279.35 oz,$279.10 oz
"January 29, 2002",$277.80 oz,$277.90 oz
"January 30, 2002",$280.95 oz,$281.50 oz
"January 31, 2002",$281.50 oz,$282.30 oz
"February 1, 2002",$282.00 oz,$283.90 oz
"February 4, 2002",$285.80 oz,$287.40 oz
"February 5, 2002",$290.35 oz,$291.95 oz
"February 6, 2002",$297.45 oz,$299.50 oz
"February 7, 2002",$300.35 oz,$299.50 oz
"February 8, 2002",$305.10 oz,$304.30 oz
"February 11, 2002",$301.50 oz,$297.75 oz
"February 12, 2002",$298.90 oz,$298.90 oz
"February 13, 2002",$298.60 oz,$297.40 oz
"February 14, 2002",$298.10 oz,$299.00 oz
"February 15, 2002",$300.40 oz,$299.85 oz
"February 18, 2002",$298.50 oz,$297.35 oz
"February 19, 2002",$297.25 oz,$296.50 oz
"February 20, 2002",$294.20 oz,$291.30 oz
"February 21, 2002",$291.15 oz,$292.15 oz
"February 22, 2002",$293.35 oz,$292.75 oz
"February 25, 2002",$291.80 oz,$291.95 oz
"February 26, 2002",$293.00 oz,$294.20 oz
"February 27, 2002",$299.30 oz,$297.40 oz
"February 28, 2002",$296.55 oz,$296.85 oz
"March 1, 2002",$295.80 oz,$295.40 oz
"March 4, 2002",$299.55 oz,$297.40 oz
"March 5, 2002",$296.60 oz,$297.80 oz
"March 6, 2002",$294.35 oz,$292.70 oz
"March 7, 2002",$292.15 oz,$291.00 oz
"March 8, 2002",$289.30 oz,$289.15 oz
"March 11, 2002",$291.75 oz,$291.20 oz
"March 12, 2002",$292.00 oz,$293.60 oz
"March 13, 2002",$293.75 oz,$293.15 oz
"March 14, 2002",$292.70 oz,$291.20 oz
"March 15, 2002",$291.00 oz,$290.30 oz
"March 18, 2002",$291.00 oz,$292.05 oz
"March 19, 2002",$293.20 oz,$293.10 oz
"March 20, 2002",$292.70 oz,$291.85 oz
"March 21, 2002",$292.25 oz,$292.75 oz
"March 22, 2002",$293.65 oz,$294.25 oz
"March 25, 2002",$297.70 oz,$297.70 oz
"March 26, 2002",$297.10 oz,$296.10 oz
"March 27, 2002",$297.50 oz,$299.00 oz
"March 28, 2002",$303.00 oz,$301.40 oz
"April 2, 2002",$302.65 oz,$304.00 oz
"April 3, 2002",$304.95 oz,$303.75 oz
"April 4, 2002",$301.50 oz,$301.70 oz
"April 5, 2002",$300.80 oz,$301.00 oz
"April 8, 2002",$298.50 oz,$300.45 oz
"April 9, 2002",$299.30 oz,$298.70 oz
"April 10, 2002",$297.80 oz,$298.00 oz
"April 11, 2002",$301.80 oz,$301.30 oz
"April 12, 2002",$301.65 oz,$300.35 oz
"April 15, 2002",$301.80 oz,$300.10 oz
"April 16, 2002",$299.35 oz,$297.75 oz
"April 17, 2002",$300.15 oz,$300.85 oz
"April 18, 2002",$302.30 oz,$304.25 oz
"April 19, 2002",$303.70 oz,$301.80 oz
"April 22, 2002",$303.35 oz,$303.70 oz
"April 23, 2002",$303.25 oz,$302.70 oz
"April 24, 2002",$304.50 oz,$304.20 oz
"April 25, 2002",$305.10 oz,$307.25 oz
"April 26, 2002",$307.65 oz,$306.60 oz
"April 29, 2002",$310.65 oz,$309.70 oz
"April 30, 2002",$309.35 oz,$308.20 oz
"May 1, 2002",$308.30 oz,$308.35 oz
"May 2, 2002",$308.10 oz,$307.60 oz
"May 3, 2002",$308.85 oz,$310.45 oz
"May 7, 2002",$312.65 oz,$312.00 oz
"May 8, 2002",$310.90 oz,$310.50 oz
"May 9, 2002",$308.75 oz,$308.85 oz
"May 10, 2002",$310.65 oz,$311.15 oz
"May 13, 2002",$311.60 oz,$310.75 oz
"May 14, 2002",$309.95 oz,$308.40 oz
"May 15, 2002",$307.50 oz,$308.30 oz
"May 16, 2002",$309.05 oz,$310.10 oz
"May 17, 2002",$310.65 oz,$310.60 oz
"May 20, 2002",$311.80 oz,$311.50 oz
"May 21, 2002",$315.10 oz,$315.20 oz
"May 22, 2002",$318.25 oz,$317.10 oz
"May 23, 2002",$316.25 oz,$317.15 oz
"May 24, 2002",$320.90 oz,$320.95 oz
"May 27, 2002",$320.80 oz,$320.05 oz
"May 28, 2002",$321.40 oz,$320.20 oz
"May 29, 2002",$325.20 oz,$327.05 oz
"May 30, 2002",$324.65 oz,$326.00 oz
"May 31, 2002",$327.25 oz,$326.60 oz
"June 5, 2002",$324.50 oz,$322.00 oz
"June 6, 2002",$322.90 oz,$324.10 oz
"June 7, 2002",$326.55 oz,$326.40 oz
"June 10, 2002",$323.10 oz,$322.50 oz
"June 11, 2002",$319.00 oz,$316.80 oz
"June 12, 2002",$319.55 oz,$319.75 oz
"June 13, 2002",$317.60 oz,$318.75 oz
"June 14, 2002",$319.70 oz,$322.10 oz
"June 17, 2002",$317.95 oz,$317.80 oz
"June 18, 2002",$318.05 oz,$318.35 oz
"June 19, 2002",$321.85 oz,$320.65 oz
"June 20, 2002",$320.85 oz,$322.35 oz
"June 21, 2002",$323.50 oz,$322.70 oz
"June 24, 2002",$326.35 oz,$326.40 oz
