"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 07, 2020","1,925.01","1,898.83","1,927.55","1,898.14","109.12M","2.56%"
"Oct 06, 2020","1,876.89","1,914.45","1,919.21","1,872.98","119.63M","-2.31%"
"Oct 05, 2020","1,921.21","1,897.42","1,922.08","1,896.50","103.78M","1.86%"
"Oct 02, 2020","1,886.20","1,887.95","1,907.28","1,878.34","116.06M","-1.74%"
"Oct 01, 2020","1,919.66","1,904.09","1,921.37","1,893.87","139.83M","1.98%"
"Sep 30, 2020","1,882.48","1,868.62","1,905.55","1,867.93","145.42M","0.82%"
"Sep 29, 2020","1,867.10","1,877.37","1,881.73","1,866.35","114.85M","-0.53%"
"Sep 28, 2020","1,877.00","1,862.47","1,878.54","1,856.54","114.26M","2.06%"
"Sep 25, 2020","1,839.06","1,815.64","1,844.21","1,797.18","121.40M","1.58%"
"Sep 24, 2020","1,810.38","1,797.67","1,833.08","1,787.36","130.29M","0.23%"
"Sep 23, 2020","1,806.20","1,864.93","1,865.26","1,802.70","131.02M","-3.00%"
"Sep 22, 2020","1,862.07","1,831.42","1,864.06","1,819.99","142.76M","3.03%"
"Sep 21, 2020","1,807.35","1,786.65","1,807.72","1,769.01","151.77M","0.02%"
"Sep 18, 2020","1,806.98","1,835.28","1,836.16","1,782.27","320.13M","-1.15%"
"Sep 17, 2020","1,827.91","1,823.23","1,839.16","1,811.75","162.27M","-1.53%"
"Sep 16, 2020","1,856.30","1,893.65","1,894.21","1,855.41","188.84M","-1.41%"
"Sep 15, 2020","1,882.77","1,873.87","1,886.45","1,864.32","172.43M","1.43%"
"Sep 14, 2020","1,856.24","1,869.98","1,882.88","1,850.69","179.61M","0.33%"
"Sep 11, 2020","1,850.10","1,875.33","1,878.66","1,834.12","185.38M","-0.58%"
"Sep 10, 2020","1,860.85","1,917.56","1,931.08","1,857.97","191.02M","-2.24%"
"Sep 09, 2020","1,903.42","1,881.30","1,919.36","1,873.98","195.75M","2.40%"
"Sep 08, 2020","1,858.82","1,859.71","1,897.95","1,850.41","210.73M","-2.75%"
"Sep 04, 2020","1,911.45","1,933.58","1,951.50","1,842.33","203.93M","-1.67%"
"Sep 03, 2020","1,943.85","2,008.27","2,009.58","1,921.61","266.23M","-3.90%"
"Sep 02, 2020","2,022.70","2,021.75","2,024.49","1,996.83","254.66M","0.92%"
"Sep 01, 2020","2,004.31","1,982.18","2,005.42","1,977.15","207.56M","1.66%"
"Aug 31, 2020","1,971.54","1,961.12","1,982.98","1,958.12","192.39M","0.46%"
"Aug 28, 2020","1,962.57","1,972.14","1,973.15","1,955.61","189.00M","0.15%"
