DATE,GASREGW
9/1/1990,1.258
10/1/1990,1.3354
11/1/1990,1.324
12/1/1990,1.341
1/1/1991,1.18
2/1/1991,1.09425
3/1/1991,1.04
4/1/1991,1.0762
5/1/1991,1.12575
6/1/1991,1.12825
7/1/1991,1.0956
8/1/1991,1.11475
9/1/1991,1.1092
10/1/1991,1.088
11/1/1991,1.099
12/1/1991,1.0762
1/1/1992,1.022
2/1/1992,1.006
3/1/1992,1.0126
4/1/1992,1.05175
5/1/1992,1.10725
6/1/1992,1.1448
7/1/1992,1.1365
8/1/1992,1.1218
9/1/1992,1.1215
10/1/1992,1.114
11/1/1992,1.1112
12/1/1992,1.0775
1/1/1993,1.06175
2/1/1993,1.05425
3/1/1993,1.0522
4/1/1993,1.078
5/1/1993,1.1004
6/1/1993,1.09725
7/1/1993,1.07775
8/1/1993,1.0616
9/1/1993,1.0495
10/1/1993,1.09175
11/1/1993,1.0664
12/1/1993,1.014
1/1/1994,0.9984
2/1/1994,1.009
3/1/1994,1.00775
4/1/1994,1.02725
5/1/1994,1.0474
6/1/1994,1.078
7/1/1994,1.10575
8/1/1994,1.1548
9/1/1994,1.14375
10/1/1994,1.1136
11/1/1994,1.11575
12/1/1994,1.0905
1/1/1995,1.0818
2/1/1995,1.0725
3/1/1995,1.072
4/1/1995,1.11125
5/1/1995,1.1784
6/1/1995,1.1915
7/1/1995,1.1538
8/1/1995,1.12325
9/1/1995,1.11075
10/1/1995,1.0872
11/1/1995,1.06225
12/1/1995,1.07125
1/1/1996,1.0904
2/1/1996,1.08925
3/1/1996,1.137
4/1/1996,1.2306
5/1/1996,1.278
6/1/1996,1.2585
7/1/1996,1.2276
8/1/1996,1.206
9/1/1996,1.2024
10/1/1996,1.204
11/1/1996,1.23225
12/1/1996,1.2352
1/1/1997,1.23625
2/1/1997,1.23
3/1/1997,1.205
4/1/1997,1.199
5/1/1997,1.20025
6/1/1997,1.1976
7/1/1997,1.17425
8/1/1997,1.2235
9/1/1997,1.2314
10/1/1997,1.19675
11/1/1997,1.17075
12/1/1997,1.1314
1/1/1998,1.08625
2/1/1998,1.049
3/1/1998,1.0168
4/1/1998,1.03025
5/1/1998,1.0635
6/1/1998,1.0644
7/1/1998,1.05525
8/1/1998,1.026
9/1/1998,1.00925
10/1/1998,1.01875
11/1/1998,0.9954
12/1/1998,0.945
1/1/1999,0.939
2/1/1999,0.9205
3/1/1999,0.982
4/1/1999,1.131
5/1/1999,1.1306
6/1/1999,1.11425
7/1/1999,1.1575
8/1/1999,1.2208
9/1/1999,1.2555
10/1/1999,1.24425
11/1/1999,1.2514
12/1/1999,1.2725
1/1/2000,1.2888
2/1/2000,1.377
3/1/2000,1.51625
4/1/2000,1.46475
5/1/2000,1.4868
6/1/2000,1.63325
7/1/2000,1.551
8/1/2000,1.4645
9/1/2000,1.55025
10/1/2000,1.5322
11/1/2000,1.51725
12/1/2000,1.44275
1/1/2001,1.4472
2/1/2001,1.44975
3/1/2001,1.40925
4/1/2001,1.5516
5/1/2001,1.70175
6/1/2001,1.61625
7/1/2001,1.4206
8/1/2001,1.42075
9/1/2001,1.5215
10/1/2001,1.3154
11/1/2001,1.1705
12/1/2001,1.086
1/1/2002,1.10725
2/1/2002,1.11375
3/1/2002,1.24925
4/1/2002,1.397
5/1/2002,1.39175
6/1/2002,1.38225
7/1/2002,1.397
8/1/2002,1.39575
9/1/2002,1.3996
10/1/2002,1.44525
11/1/2002,1.419
12/1/2002,1.3858
1/1/2003,1.4575
2/1/2003,1.613
3/1/2003,1.693
4/1/2003,1.589
5/1/2003,1.49725
6/1/2003,1.4928
7/1/2003,1.5125
8/1/2003,1.62025
9/1/2003,1.6788
10/1/2003,1.5635
11/1/2003,1.512
12/1/2003,1.4788
1/1/2004,1.57175
2/1/2004,1.6475
3/1/2004,1.736
4/1/2004,1.79775
5/1/2004,1.9834
6/1/2004,1.96925
7/1/2004,1.91125
8/1/2004,1.878
9/1/2004,1.86975
10/1/2004,1.9995
11/1/2004,1.9794
12/1/2004,1.841
1/1/2005,1.8308
2/1/2005,1.91
3/1/2005,2.07925
4/1/2005,2.2425
5/1/2005,2.1612
6/1/2005,2.1555
7/1/2005,2.29
8/1/2005,2.4862
9/1/2005,2.90325
10/1/2005,2.7168
11/1/2005,2.25675
12/1/2005,2.185
1/1/2006,2.3156
2/1/2006,2.28
3/1/2006,2.42475
4/1/2006,2.742
5/1/2006,2.9068
6/1/2006,2.8845
7/1/2006,2.9806
8/1/2006,2.95175
