DATE,monthly_retail
1/1/1992,"$146,925.00 "
2/1/1992,"$147,223.00 "
3/1/1992,"$146,805.00 "
4/1/1992,"$148,032.00 "
5/1/1992,"$149,010.00 "
6/1/1992,"$149,800.00 "
7/1/1992,"$150,761.00 "
8/1/1992,"$151,067.00 "
9/1/1992,"$152,588.00 "
10/1/1992,"$153,521.00 "
11/1/1992,"$153,583.00 "
12/1/1992,"$155,614.00 "
1/1/1993,"$157,555.00 "
2/1/1993,"$156,266.00 "
3/1/1993,"$154,752.00 "
4/1/1993,"$158,979.00 "
5/1/1993,"$160,605.00 "
6/1/1993,"$160,127.00 "
7/1/1993,"$162,816.00 "
8/1/1993,"$162,506.00 "
9/1/1993,"$163,258.00 "
10/1/1993,"$164,685.00 "
11/1/1993,"$166,594.00 "
12/1/1993,"$168,161.00 "
1/1/1994,"$167,518.00 "
2/1/1994,"$169,649.00 "
3/1/1994,"$172,766.00 "
4/1/1994,"$173,106.00 "
5/1/1994,"$172,329.00 "
6/1/1994,"$174,241.00 "
7/1/1994,"$174,781.00 "
8/1/1994,"$177,295.00 "
9/1/1994,"$178,787.00 "
10/1/1994,"$180,561.00 "
11/1/1994,"$180,703.00 "
12/1/1994,"$181,524.00 "
1/1/1995,"$182,413.00 "
2/1/1995,"$179,488.00 "
3/1/1995,"$181,013.00 "
4/1/1995,"$181,686.00 "
5/1/1995,"$183,536.00 "
6/1/1995,"$186,081.00 "
7/1/1995,"$185,431.00 "
8/1/1995,"$186,806.00 "
9/1/1995,"$187,366.00 "
10/1/1995,"$186,565.00 "
11/1/1995,"$189,055.00 "
12/1/1995,"$190,774.00 "
1/1/1996,"$189,135.00 "
2/1/1996,"$192,266.00 "
3/1/1996,"$194,029.00 "
4/1/1996,"$194,744.00 "
5/1/1996,"$196,205.00 "
6/1/1996,"$196,136.00 "
7/1/1996,"$196,187.00 "
8/1/1996,"$196,218.00 "
9/1/1996,"$198,859.00 "
10/1/1996,"$200,509.00 "
11/1/1996,"$200,174.00 "
12/1/1996,"$201,284.00 "
