DATE,y_monthly_retail,gas_prices,consumer_sentiments,unemployment_rate,CPI,dow_index,Consumer_debt_service,Pct_chng_prv_yr,GDPC1
1/1/1992,146925,1.022,67.5,7.3,138.3,88.41,4.867179,2.9,9534.346
2/1/1992,147223,1.006,68.8,7.4,138.6,89.32,4.867179,2.9,9534.346
3/1/1992,146805,1.0126,76,7.4,139.1,90.88,4.867179,2.9,9534.346
4/1/1992,148032,1.05175,77.2,7.4,139.4,90.33,4.774439,3.2,9637.732
5/1/1992,149010,1.10725,79.2,7.6,139.7,87.5,4.774439,3.2,9637.732
6/1/1992,149800,1.1448,80.4,7.8,140.1,84.78,4.774439,3.2,9637.732
7/1/1992,150761,1.1365,76.6,7.7,140.5,82.59,4.702399,3.7,9732.979
8/1/1992,151067,1.1218,76.1,7.6,140.8,79.12,4.702399,3.7,9732.979
9/1/1992,152588,1.1215,75.6,7.6,141.1,83.1,4.702399,3.7,9732.979
10/1/1992,153521,1.114,73.3,7.3,141.7,88.39,4.660212,4.4,9834.51
11/1/1992,153583,1.1112,85.3,7.4,142.1,91.12,4.660212,4.4,9834.51
12/1/1992,155614,1.0775,91,7.4,142.3,93.87,4.660212,4.4,9834.51
1/1/1993,157555,1.06175,89.3,7.3,142.8,93.37,4.652557,3.3,9850.973
2/1/1993,156266,1.05425,86.6,7.1,143.1,94.42,4.652557,3.3,9850.973
3/1/1993,154752,1.0522,85.9,7,143.3,92.94,4.652557,3.3,9850.973
4/1/1993,158979,1.078,85.6,7.1,143.8,90.14,4.648903,2.8,9908.347
5/1/1993,160605,1.1004,80.3,7.1,144.2,89.17,4.648903,2.8,9908.347
6/1/1993,160127,1.09725,81.5,7,144.3,94.64,4.648903,2.8,9908.347
7/1/1993,162816,1.07775,77,6.9,144.5,96.33,4.705303,2.3,9955.641
8/1/1993,162506,1.0616,77.3,6.8,144.8,94.19,4.705303,2.3,9955.641
9/1/1993,163258,1.0495,77.9,6.7,145,93.68,4.705303,2.3,9955.641
10/1/1993,164685,1.09175,82.7,6.8,145.6,95.7,4.755414,2.6,10091.049
11/1/1993,166594,1.0664,81.2,6.6,146,96.43,4.755414,2.6,10091.049
12/1/1993,168161,1.014,88.2,6.5,146.3,97.46,4.755414,2.6,10091.049
1/1/1994,167518,0.9984,94.3,6.6,146.3,95.97,4.831917,3.4,10188.954
2/1/1994,169649,1.009,93.2,6.6,146.7,94.67,4.831917,3.4,10188.954
3/1/1994,172766,1.00775,91.5,6.5,147.1,93.57,4.831917,3.4,10188.954
4/1/1994,173106,1.02725,92.6,6.4,147.2,92.26,4.924236,4.2,10327.019
5/1/1994,172329,1.0474,92.8,6.1,147.5,92.56,4.924236,4.2,10327.019
6/1/1994,174241,1.078,91.2,6.1,147.9,89.81,4.924236,4.2,10327.019
7/1/1994,174781,1.10575,89,6.1,148.4,90.09,5.035871,4.3,10387.382
8/1/1994,177295,1.1548,91.7,6,149,89.74,5.035871,4.3,10387.382
9/1/1994,178787,1.14375,91.5,5.9,149.3,88.01,5.035871,4.3,10387.382
10/1/1994,180561,1.1136,92.7,5.8,149.4,85.78,5.120072,4.1,10506.372
11/1/1994,180703,1.11575,91.6,5.6,149.8,89.19,5.120072,4.1,10506.372
12/1/1994,181524,1.0905,95.1,5.5,150.1,88.69,5.120072,4.1,10506.372
1/1/1995,182413,1.0818,97.6,5.6,150.5,88.03,5.248012,3.5,10543.644
2/1/1995,179488,1.0725,95.1,5.4,150.9,85.92,5.248012,3.5,10543.644
3/1/1995,181013,1.072,90.3,5.4,151.2,82.08,5.248012,3.5,10543.644
4/1/1995,181686,1.11125,92.5,5.8,151.8,81.92,5.394652,2.4,10575.1
5/1/1995,183536,1.1784,89.8,5.6,152.1,82.67,5.394652,2.4,10575.1
6/1/1995,186081,1.1915,92.7,5.6,152.4,81.73,5.394652,2.4,10575.1
7/1/1995,185431,1.1538,94.4,5.7,152.6,81.69,5.523088,2.7,10665.06
8/1/1995,186806,1.12325,96.2,5.7,152.9,85.61,5.523088,2.7,10665.06
9/1/1995,187366,1.11075,88.9,5.6,153.1,84.44,5.523088,2.7,10665.06
10/1/1995,186565,1.0872,90.2,5.5,153.5,83.72,5.594352,2.2,10737.478
11/1/1995,189055,1.06225,88.2,5.6,153.7,85.37,5.594352,2.2,10737.478
12/1/1995,190774,1.07125,91,5.6,153.9,84.83,5.594352,2.2,10737.478
1/1/1996,189135,1.0904,89.3,5.6,154.7,87.43,5.653204,2.6,10817.896
2/1/1996,192266,1.08925,88.5,5.5,155,86.32,5.653204,2.6,10817.896
3/1/1996,194029,1.137,93.7,5.5,155.5,86.44,5.653204,2.6,10817.896
4/1/1996,194744,1.2306,92.7,5.6,156.1,87.98,5.675422,4,10998.322
5/1/1996,196205,1.278,89.4,5.6,156.4,87.8,5.675422,4,10998.322
6/1/1996,196136,1.2585,92.4,5.3,156.7,87.65,5.675422,4,10998.322
