Date,High (troy oz),Low (troy oz),Close (troy oz)
5-Oct-20,1930.48,1873.17,1930.33
25-Sep-20,1917.08,1849.80,1903.11
15-Sep-20,1973.42,1849.04,1867.93
5-Sep-20,1966.39,1906.79,1957.35
26-Aug-20,1992.30,1902.94,1933.63
16-Aug-20,2015.64,1911.92,1929.81
6-Aug-20,2075.09,1864.89,1944.45
27-Jul-20,2055.13,1907.00,2036.58
17-Jul-20,1915.14,1796.07,1913.82
7-Jul-20,1817.95,1773.99,1798.46
27-Jun-20,1789.21,1757.80,1785.90
17-Jun-20,1779.36,1713.48,1771.61
7-Jun-20,1744.71,1677.97,1726.63
28-May-20,1745.13,1671.05,1685.34
18-May-20,1765.01,1694.00,1711.19
8-May-20,1760.23,1692.78,1758.35
28-Apr-20,1722.12,1671.22,1714.26
18-Apr-20,1738.75,1661.29,1710.14
8-Apr-20,1747.33,1643.49,1684.21
29-Mar-20,1670.34,1570.55,1648.61
19-Mar-20,1643.58,1457.40,1627.83
9-Mar-20,1702.64,1452.31,1497.82
28-Feb-20,1702.17,1565.02,1700.17
18-Feb-20,1689.08,1584.34,1645.56
8-Feb-20,1585.52,1562.09,1584.34
29-Jan-20,1593.66,1547.57,1569.95
19-Jan-20,1588.16,1546.65,1568.57
9-Jan-20,1563.16,1536.21,1557.32
30-Dec-19,1611.07,1510.87,1557.97
20-Dec-19,1515.36,1475.92,1513.60
10-Dec-19,1486.57,1460.20,1478.52
30-Nov-19,1484.07,1454.05,1461.23
20-Nov-19,1478.80,1450.47,1463.89
10-Nov-19,1475.40,1445.78,1474.52
31-Oct-19,1515.92,1456.50,1459.00
21-Oct-19,1517.92,1481.01,1495.35
11-Oct-19,1503.18,1474.46,1491.77
1-Oct-19,1519.64,1459.24,1494.11
21-Sep-19,1535.77,1464.60,1473.67
11-Sep-19,1523.87,1484.51,1516.49
1-Sep-19,1557.11,1484.16,1487.12
22-Aug-19,1554.79,1492.66,1520.54
12-Aug-19,1534.53,1480.34,1502.66
2-Aug-19,1509.96,1430.51,1501.29
23-Jul-19,1447.15,1400.68,1438.39
13-Jul-19,1452.58,1400.36,1423.78
3-Jul-19,1435.84,1386.83,1415.69
23-Jun-19,1438.71,1382.05,1431.50
13-Jun-19,1411.28,1332.49,1399.63
3-Jun-19,1348.31,1308.68,1333.68
24-May-19,1309.54,1275.11,1309.43
14-May-19,1303.37,1269.75,1284.18
4-May-19,1301.76,1277.25,1301.73
24-Apr-19,1288.66,1266.59,1279.03
14-Apr-19,1292.02,1266.56,1271.52
4-Apr-19,1310.67,1281.07,1290.58
25-Mar-19,1324.49,1285.48,1291.92
15-Mar-19,1320.35,1294.12,1311.84
5-Mar-19,1311.31,1281.58,1296.18
23-Feb-19,1332.61,1283.20,1287.20
13-Feb-19,1346.75,1303.27,1328.78
3-Feb-19,1318.97,1302.92,1310.32
24-Jan-19,1326.30,1276.87,1317.84
14-Jan-19,1295.91,1277.01,1283.85
4-Jan-19,1298.19,1276.92,1288.17
