DATE,monthly_retail,close
1/1/1992,146925.00,
2/1/1992,147223.00,
3/1/1992,146805.00,
4/1/1992,148032.00,
5/1/1992,149010.00,
6/1/1992,149800.00,
7/1/1992,150761.00,
8/1/1992,151067.00,
9/1/1992,152588.00,
10/1/1992,153521.00,
11/1/1992,153583.00,
12/1/1992,155614.00,
1/1/1993,157555.00,
2/1/1993,156266.00,329.75
3/1/1993,154752.00,328.5
4/1/1993,158979.00,
5/1/1993,160605.00,
6/1/1993,160127.00,
7/1/1993,162816.00,
8/1/1993,162506.00,
9/1/1993,163258.00,
10/1/1993,164685.00,
11/1/1993,166594.00,
12/1/1993,168161.00,
1/1/1994,167518.00,
2/1/1994,169649.00,381.65
3/1/1994,172766.00,381.3
4/1/1994,173106.00,
5/1/1994,172329.00,
6/1/1994,174241.00,
7/1/1994,174781.00,
8/1/1994,177295.00,
9/1/1994,178787.00,
10/1/1994,180561.00,
11/1/1994,180703.00,
12/1/1994,181524.00,
1/1/1995,182413.00,
2/1/1995,179488.00,376.25
3/1/1995,181013.00,375.7
4/1/1995,181686.00,
5/1/1995,183536.00,
6/1/1995,186081.00,
7/1/1995,185431.00,
8/1/1995,186806.00,
9/1/1995,187366.00,
10/1/1995,186565.00,
11/1/1995,189055.00,
12/1/1995,190774.00,
1/1/1996,189135.00,
2/1/1996,192266.00,409.1
3/1/1996,194029.00,398.35
4/1/1996,194744.00,
5/1/1996,196205.00,
6/1/1996,196136.00,
7/1/1996,196187.00,
8/1/1996,196218.00,
9/1/1996,198859.00,
10/1/1996,200509.00,
11/1/1996,200174.00,
12/1/1996,201284.00,
1/1/1997,202371.00,
2/1/1997,204286.00,344.3
3/1/1997,204990.00,362.15
4/1/1997,203399.00,
5/1/1997,201699.00,
6/1/1997,204675.00,
7/1/1997,207014.00,
8/1/1997,207635.00,
9/1/1997,208326.00,
10/1/1997,208078.00,
11/1/1997,208936.00,
12/1/1997,209363.00,
1/1/1998,209666.00,
2/1/1998,209552.00,301.5
3/1/1998,210832.00,298.35
