,DATE,NYT_sentiment,gas_prices,consumer_sentiments,unemployment_rate,CPI,Retail_Index_Returns,Consumer_debt_service,GDP_growth,sales,GDP,Gold_Returns
0,11/1/1992,0.8121,1.1112,85.3,7.4,-3.6647656490000000,0,4.6602120000000000,4.4,-18182.99304,-576.1094475,0
1,11/1/1993,0.762175,1.0664,81.2,6.6,-4.077295268,0.05827480245829690,4.755414,2.6,-15860.780980000000,-676.8040249,0.06995581737849780
2,11/1/1994,0.6671,1.11575,91.6,5.6,-4.587534408,-0.07508036917971590,5.120072,4.1,-12429.20455,-618.354534,0.05849965588437710
3,11/1/1995,0.48553333300000000,1.06225,88.2,5.6,-4.990644281000000,-0.04282991366745150,5.594352,2.2,-14721.98639,-742.9789037,-0.006631989596879050
4,11/1/1996,0.7226,1.23225,99.2,5.4,-4.278918891,0.029401429073445000,5.777011,4.4,-14186.080890000000,-621.6695916,-0.011388925251996200
5,11/1/1997,0.85595,1.17075,107.2,4.6,-5.541533087,0.11299499317250800,5.705666000000000,4.5,-15907.2412,-467.9526933,-0.16896186440678000
6,11/1/1998,0.34853333300000000,0.9954,102.7,4.4,-7.364987396,-0.016664962682752200,5.761093,4.9,-14045.354160000000,-239.8477611,-0.06724028043339710
7,11/1/1999,0.3739,1.2514,107.2,4.1,-7.232318885,0.05957579538365550,5.95983,4.8,-4767.36459,15.52712332,-0.004612230953194300
8,11/1/2000,0.3271,1.51725,107.6,3.9,-5.521961505,0.1294279266019040,6.341266,3.0,-4842.438969,73.97078305,-0.08872490132143470
9,11/1/2001,-0.16125,1.1705,83.9,5.5,-6.207829007000000,0.003909643788010400,6.712248,0.2,-4182.764165,-216.9416633,0.05687382297551790
10,11/1/2002,0.5859,1.419,84.2,5.9,-6.060383917,-0.07832107312851580,6.502536,2.1,-10241.50053,-234.4213287,0.1398788310762650
11,11/1/2003,0.5789,1.5120000000000000,93.7,5.8,-6.246208867000000,-0.152300469483568,6.371153,4.3,-4139.194174,74.69626212,0.19821791464749100
12,11/1/2004,0.05795,1.9794,92.8,5.4,-3.0280987490000000,-0.09370846256092170,6.237751,3.3,5678.009712,282.280098,0.11898238747553800
13,11/1/2005,0.408385714,2.25675,81.6,5.0,0.135055426,0.11843070153996600,6.10349,3.1,15391.55295,505.84648270000000,0.07147021102949740
14,11/1/2006,0.041875,2.22925,92.1,4.5,1.086255206,-0.09463446617855990,5.919763,2.6,18748.32859,688.9832945,0.33645266594124100
15,11/1/2007,0.08545714300000000,3.08,76.1,4.7,7.302417732,-0.08062764031382010,6.00891,2.0,30654.60998,814.9402581,0.28684253378928500
16,11/1/2008,0.41938000000000000,2.147,55.3,6.8,7.376781235,0.13830904555599300,5.864670000000000,-2.8,-14172.04726,231.75148340000000,-0.07687440683328060
17,11/1/2009,0.29765,2.6514,67.4,9.9,9.624019936,-0.13574765007785000,5.417978,0.2,-12957.24661,141.5787426,0.4557916381082930
18,11/1/2010,0.37835,2.859,71.6,9.8,10.59019756,0.08455327950890770,5.027983,2.6,4820.265943,450.0539634,0.27542372881355900
19,11/1/2011,0.0,3.38375,63.7,8.6,17.25036284,-0.03420654353951590,5.0136450000000000,1.6,24356.84272,650.5345867000000,0.2543373938722780
20,11/1/2012,0.149275,3.45175,82.7,7.7,20.90294561,0.021301805302518700,4.877597,1.5,36892.82336,866.3517696,0.010153031194820600
21,11/1/2013,0.4582,3.24275,75.1,6.9,23.82759424,0.006162444020308520,5.210367,2.6,47667.32448,1305.727085,-0.23860160233066300
22,11/1/2014,0.115883333,2.91225,88.8,5.8,27.28189276,0.09616028367035720,5.296709,2.9,66604.40469,1833.807636,-0.10637076717046100
23,11/1/2015,0.388111111,2.158,91.3,5.1,29.36653295,0.13343060409668300,5.399252,2.2,73353.33051,2286.283447,-0.028901734104046300
24,11/1/2016,0.0,2.1815,93.8,4.7,34.8371554,0.0132621494860794,5.59175,2.1,87065.74071,2760.399412,0.1361992945326280
25,11/1/2017,0.49942,2.5635,98.5,4.2,42.06204665,-0.08407606929357180,5.576678,2.7,116289.4282,3382.556497,-0.008847840428421790
26,11/1/2018,0.327625,2.64725,97.5,3.7,49.59071997,0.04509580439130320,5.52013,2.5,136264.7699,3997.4894200000000,-0.03594221056340770
27,11/1/2019,0.0,2.59775,96.8,3.5,57.16539988,0.010350220173669800,5.6141310000000000,2.3,155602.4617,4612.0237990000000,0.186882183324534
28,12/1/1992,0.45885714300000000,1.0775,91.0,7.4,-55.86568331,-0.04411315451823790,4.6602120000000000,4.4,-143836.9658,-4628.850176,-0.7709806122239480
29,12/1/1993,0.50055,1.014,88.2,6.5,-49.46102764,0.03824438052625960,4.755414,2.6,-125760.2338,-4202.521831,0.11489616016733900
30,12/1/1994,0.36666666700000000,1.0905,95.1,5.5,-43.47821515,-0.08998563513236190,5.120072,4.1,-107366.1652,-3636.164463,0.018761726078799300
31,12/1/1995,-0.133071429,1.07125,91.0,5.6,-37.81991468,-0.04352238132822180,5.594352,2.2,-93826.98285,-3280.1217890000000,0.01604840831360170
32,12/1/1996,0.37852857100000000,1.2352,96.9,5.4,-31.16162123,0.035718495815159700,5.777011,4.4,-79945.80565,-2711.625927,-0.04000517866390470
33,12/1/1997,0.3624,1.1314,102.1,4.7,-27.45519233,0.13328021852947900,5.705666000000000,4.5,-69531.11071000000,-2148.856915,-0.20606877950101100
34,12/1/1998,0.684171429,0.945,100.5,4.4,-24.3330095,-0.05634227176860500,5.761093,4.9,-54482.408990000000,-1553.182027,-0.003567181926278250
35,12/1/1999,0.393728571,1.2725,105.4,4.0,-19.91029476,0.08056619838229050,5.95983,4.8,-32070.754530000000,-974.0165023,-0.014149335151721900
36,12/1/2000,0.1875125,1.44275,98.4,3.9,-14.58706202,0.07633211858563980,6.341266,3.0,-27909.14982,-637.0378397000000,-0.06899533114300540
37,12/1/2001,-0.107625,1.0860000000000000,88.8,5.7,-12.75088124,0.07256588579795010,6.712248,0.2,-24116.553180000000,-695.5287782,0.026560178306092300
38,12/1/2002,0.138055556,1.3858,86.7,6.0,-9.780205454000000,-0.12754884395529400,6.502536,2.1,-17873.47966,-527.1139085,0.14510584403835700
39,12/1/2003,0.40045714300000000,1.4788,92.6,5.7,-7.945518424000000,-0.14668492079014300,6.371153,4.3,-10306.3715,-78.74311548,0.26481276662979900
40,12/1/2004,0.58515,1.841,97.1,5.4,-4.011191263,-0.07173962869585150,6.237751,3.3,6826.500005,221.52116210000000,0.13141786383510300
41,12/1/2005,0.909933333,2.185,91.5,4.9,-0.236629142,0.12296296296296300,6.10349,3.1,14695.305020000000,491.3597,0.10356630230760700
42,12/1/2006,0.155633333,2.31275,91.7,4.4,1.821269765,-0.08278364116094970,5.919763,2.6,21482.94717,674.5628230000000,0.2981490745372690
43,12/1/2007,0.151166667,3.0184,75.5,5.0,6.950755174,-0.08066642694474410,6.00891,2.0,23554.14551,754.5917564000000,0.20886319845857400
44,12/1/2008,0.27562,1.6870000000000000,60.1,7.3,3.456938511,0.07105606258148650,5.864670000000000,-2.8,-26505.80776,79.70112341,-0.007969397513547970
45,12/1/2009,0.523625,2.60725,72.5,9.9,5.765586977000000,-0.04783931832014620,5.417978,0.2,-20602.341780000000,-147.68907230000000,0.5327763496143960
46,12/1/2010,0.144425,2.9930000000000000,74.5,9.3,5.092307189,0.013653796982868700,5.027983,2.6,-8292.319532,-21.59364058,0.16184486373165600
47,12/1/2011,0.1424375,3.26575,69.9,8.5,7.919102271,0.015563515286045800,5.0136450000000000,1.6,2456.27243,-48.12108529,0.264525442078672
48,12/1/2012,0.38201666700000000,3.3104,72.9,7.9,7.895792653000000,-0.008084747025657310,4.877597,1.5,6906.630272,-103.1114145,-0.0182648401826484
49,12/1/2013,-0.298725,3.2764,82.5,6.7,7.29924933,0.003981420039814050,5.210367,2.6,8986.414982000000,22.92243958,-0.2851744186046510
