DATE,NYT_sentiment,gas_prices,consumer_sentiments,unemployment_rate,CPI,retail_index,Consumer_debt_service,GDP_growth,sales,GDP
1992-11-01,0.8121,1.1112,85.3,7.4,1.2749910069063048,91.12,4.6602120000000005,4.4,321.2579208863608,203.323417949121
1992-12-01,0.45885714299999997,1.0775,91.0,7.4,-0.4833935628278141,93.87,4.6602120000000005,4.4,-3463.103652474587,-3.262151604718383
1993-11-01,0.762175,1.0664,81.2,6.6,1.2574249980587808,96.43,4.755414,2.6,1701.3339879639097,46.56420170522506
1993-12-01,0.50055,1.014,88.2,6.5,-0.4030480588364469,97.46,4.755414,2.6,-2545.4655042158556,-160.40056041251228
1994-11-01,0.6671,1.11575,91.6,5.6,1.1339066274601919,89.19,5.120072,4.1,4185.398190825916,47.551421124540866
1994-12-01,0.36666666700000006,1.0905,95.1,5.5,-0.5327396770407518,88.69,5.120072,4.1,-799.5836911307124,-160.27974425087814
1995-11-01,0.48553333299999996,1.06225,88.2,5.6,1.0952756020290906,85.37,5.594352,2.2,930.4642118249321,-137.54866674424193
1995-12-01,-0.133071429,1.07125,91.0,5.6,-0.6834519986637133,84.83,5.594352,2.2,-3146.0829985893506,-346.45078172086323
1996-11-01,0.7226,1.23225,99.2,5.4,2.1289885102960966,87.88,5.777011,4.4,463.5682392117742,-81.05055662933228
1996-12-01,0.37852857100000004,1.2352,96.9,5.4,0.5309352758230261,87.86,5.777011,4.4,-4209.8222113122465,-290.4829271796698
1997-11-01,0.85595,1.17075,107.2,4.6,1.119395827012454,97.81,5.705666000000001,4.5,-2332.784216851491,3.536827515992627
1997-12-01,0.3624,1.1314,102.1,4.7,-0.8089541415875772,99.57,5.705666000000001,4.5,-7668.2165052141645,-204.81601982499342
1998-11-01,0.34853333299999995,0.9954,102.7,4.4,-0.5581385578209961,96.18,5.761093,4.9,-1641.5598140727961,159.80259299752652
1998-12-01,0.684171429,0.945,100.5,4.4,-2.331675753193167,93.96,5.761093,4.9,-5312.4622457842925,-45.144261803905465
1999-11-01,0.3739,1.2514,107.2,4.1,-0.432735222610944,101.91,5.95983,4.8,6376.454072178196,343.1206113626322
1999-12-01,0.393728571,1.2725,105.4,4.0,-2.1630291636354,101.53,5.95983,4.8,5695.887301245122,144.01662325267898
2000-11-01,0.3271,1.51725,107.6,3.9,1.076000685686438,115.1,6.341266,3.0,4985.5503190517775,331.4407342396771
2000-12-01,0.1875125,1.44275,98.4,3.9,-0.7157355194650847,109.28,6.341266,3.0,-171.40392632980365,139.86789430753015
2001-11-01,-0.16125,1.1705,83.9,5.5,-0.03900012433817324,115.55,6.712248,0.2,4277.06154422299,-27.342097018743516
2001-12-01,-0.107625,1.0859999999999999,88.8,5.7,-2.3941081394812045,117.21,6.712248,0.2,-5014.909162713302,-210.88885764806582
2002-11-01,0.5859,1.419,84.2,5.9,-0.5813502003650513,106.5,6.502536,2.1,-3240.8451040274813,-112.22291667873287
2002-12-01,0.138055556,1.3858,86.7,6.0,-2.599520624873321,102.26,6.502536,2.1,-6037.141018381633,-287.5349976730122
2003-11-01,0.5789,1.5119999999999998,93.7,5.8,-1.7470503870147809,90.28,6.371153,4.3,1265.8338837518822,128.1863151297439
2003-12-01,0.40045714299999996,1.4788,92.6,5.7,-3.620745760407374,87.26,6.371153,4.3,-4381.516394962731,-37.879853136277234
