DATE,NYT_sentiment,gas_prices,consumer_sentiments,unemployment_rate,CPI,retail_index,Consumer_debt_service,GDP_growth,sales,GDP
11/1/1992,0.8121,1.1112,85.3,7.4,-3.664765649369599,91.12,4.6602120000000005,4.4,-18182.993040493748,-576.1094474839992
11/1/1993,0.762175,1.0664,81.2,6.6,-4.077295267901832,96.43,4.755414,2.6,-15860.780981956195,-676.8040249327732
11/1/1994,0.6671,1.11575,91.6,5.6,-4.587534407903149,89.19,5.120072,4.1,-12429.204552768322,-618.3545339768734
11/1/1995,0.48553333299999996,1.06225,88.2,5.6,-4.99064428130032,85.37,5.594352,2.2,-14721.986394166044,-742.9789036960283
11/1/1996,0.7226,1.23225,99.2,5.4,-4.278918891014996,87.88,5.777011,4.4,-14186.080894539831,-621.6695915862456
11/1/1997,0.85595,1.17075,107.2,4.6,-5.541533087293061,97.81,5.705666000000001,4.5,-15907.24120078364,-467.952693328707
11/1/1998,0.34853333299999995,0.9954,102.7,4.4,-7.364987396073445,96.18,5.761093,4.9,-14045.354159232433,-239.84776110986058
11/1/1999,0.3739,1.2514,107.2,4.1,-7.232318885115546,101.91,5.95983,4.8,-4767.364590470534,15.527123317184305
11/1/2000,0.3271,1.51725,107.6,3.9,-5.521961505056197,115.1,6.341266,3.0,-4842.438968732808,73.97078305000832
11/1/2001,-0.16125,1.1705,83.9,5.5,-6.20782900722898,115.55,6.712248,0.2,-4182.764165385102,-216.9416632658831
11/1/2002,0.5859,1.419,84.2,5.9,-6.060383917026968,106.5,6.502536,2.1,-10241.500527437835,-234.42132872438742
11/1/2003,0.5789,1.5119999999999998,93.7,5.8,-6.2462088667138005,90.28,6.371153,4.3,-4139.19417429826,74.69626212012372
11/1/2004,0.05795,1.9794,92.8,5.4,-3.0280987486049185,81.82,6.237751,3.3,5678.009712456085,282.28009804373505
11/1/2005,0.408385714,2.25675,81.6,5.0,0.1350554255259624,91.51,6.10349,3.1,15391.552947606542,505.84648265870237
11/1/2006,0.041875,2.22925,92.1,4.5,1.0862552056227912,82.85,5.919763,2.6,18748.328589864075,688.9832945160069
11/1/2007,0.08545714300000001,3.08,76.1,4.7,7.302417731988697,76.17,6.00891,2.0,30654.609977347427,814.9402581149607
11/1/2008,0.41938000000000003,2.147,55.3,6.8,7.376781235423181,86.705,5.864669999999999,-2.8,-14172.047257193597,231.751483395803
11/1/2009,0.29765,2.6514,67.4,9.9,9.624019935643304,74.935,5.417978,0.2,-12957.246612244518,141.57874263745907
11/1/2010,0.37835,2.859,71.6,9.8,10.590197564094154,81.271,5.027983,2.6,4820.265943244565,450.05396344172914
11/1/2011,0.0,3.38375,63.7,8.6,17.250362839760953,78.491,5.0136449999999995,1.6,24356.842719456414,650.5345866962743
11/1/2012,0.149275,3.45175,82.7,7.7,20.902945608151242,80.163,4.877597,1.5,36892.823360359005,866.3517695615938
11/1/2013,0.4582,3.24275,75.1,6.9,23.82759423799766,80.657,5.210367,2.6,47667.32448322058,1305.7270850814893
11/1/2014,0.115883333,2.91225,88.8,5.8,27.281892757027606,88.413,5.296709,2.9,66604.40469070897,1833.807636443793
11/1/2015,0.388111111,2.158,91.3,5.1,29.366532946569748,100.21,5.399252,2.2,73353.33050768985,2286.2834474081374
11/1/2016,0.0,2.1815,93.8,4.7,34.83715540497954,101.539,5.59175,2.1,87065.74070609722,2760.399411961398
11/1/2017,0.49942,2.5635,98.5,4.2,42.06204664752076,93.00200000000001,5.576678,2.7,116289.42822629766,3382.5564969357984
11/1/2018,0.327625,2.64725,97.5,3.7,49.590719967329136,97.196,5.52013,2.5,136264.76992071647,3997.4894195310935
11/1/2019,0.0,2.59775,96.8,3.5,57.16539987838564,98.20200000000001,5.6141309999999995,2.3,155602.46174913755,4612.023799136463
12/1/1992,0.45885714299999997,1.0775,91.0,7.4,-55.86568330530824,93.87,4.6602120000000005,4.4,-143836.9658098555,-4628.850175746125
12/1/1993,0.50055,1.014,88.2,6.5,-49.46102764467497,97.46,4.755414,2.6,-125760.23381627246,-4202.521831489174
12/1/1994,0.36666666700000006,1.0905,95.1,5.5,-43.47821514857145,88.69,5.120072,4.1,-107366.1652264921,-3636.164463105346
12/1/1995,-0.133071429,1.07125,91.0,5.6,-37.81991468357654,84.83,5.594352,2.2,-93826.98285075813,-3280.1217894626297
12/1/1996,0.37852857100000004,1.2352,96.9,5.4,-31.161621231801405,87.86,5.777011,4.4,-79945.80564604752,-2711.6259266395737
12/1/1997,0.3624,1.1314,102.1,4.7,-27.455192328679743,99.57,5.705666000000001,4.5,-69531.11070505576,-2148.856914596314
12/1/1998,0.684171429,0.945,100.5,4.4,-24.333009496375524,93.96,5.761093,4.9,-54482.40899194946,-1553.182027088831
