,compound
"(1992, 11)",0.8121
"(1992, 12)",0.4588571428571429
"(1993, 11)",0.762175
"(1993, 12)",0.5005499999999999
"(1994, 11)",0.6671
"(1994, 12)",0.36666666666666664
"(1995, 11)",0.4855333333333334
"(1995, 12)",-0.13307142857142856
"(1996, 11)",0.7226
"(1996, 12)",0.3785285714285714
"(1997, 11)",0.85595
"(1997, 12)",0.36240000000000006
"(1998, 11)",0.34853333333333336
"(1998, 12)",0.6841714285714285
"(1999, 11)",0.37389999999999995
"(1999, 12)",0.39372857142857143
"(2000, 11)",0.3271
"(2000, 12)",0.1875125
"(2001, 11)",-0.16124999999999995
"(2001, 12)",-0.10762499999999998
"(2002, 11)",0.5859
"(2002, 12)",0.13805555555555554
"(2003, 11)",0.5789
"(2003, 12)",0.4004571428571429
"(2004, 11)",0.05795
"(2004, 12)",0.5851500000000001
"(2005, 11)",0.40838571428571424
"(2005, 12)",0.9099333333333334
"(2006, 11)",0.04187500000000001
"(2006, 12)",0.15563333333333332
"(2007, 11)",0.08545714285714286
"(2007, 12)",0.1511666666666667
"(2008, 11)",0.41938
"(2008, 12)",0.27562
"(2009, 11)",0.29764999999999997
"(2009, 12)",0.523625
"(2010, 11)",0.37835
"(2010, 12)",0.144425
"(2011, 11)",0.0
"(2011, 12)",0.1424375
"(2012, 11)",0.149275
"(2012, 12)",0.3820166666666666
"(2013, 11)",0.4582
"(2013, 12)",-0.298725
"(2014, 11)",0.11588333333333334
"(2014, 12)",0.245875
"(2015, 11)",0.38811111111111113
"(2015, 12)",-0.4215
"(2016, 12)",0.30265
"(2017, 11)",0.49942000000000003
"(2017, 12)",0.0
"(2018, 11)",0.327625
"(2018, 12)",0.3466
"(2019, 11)",0.0
"(2019, 12)",0.222725
