DATE,y_monthly_retail,gas_prices,consumer_sentiments,unemployment_rate,CPI,dow_index,Consumer_debt_service,Pct_chng_prv_yr,GDPC1
11/1/1992,153583,1.1112,85.3,7.4,142.1,91.12,4.660212,4.4,9834.51
12/1/1992,155614,1.0775,91,7.4,142.3,93.87,4.660212,4.4,9834.51
11/1/1993,166594,1.0664,81.2,6.6,146,96.43,4.755414,2.6,10091.049
12/1/1993,168161,1.014,88.2,6.5,146.3,97.46,4.755414,2.6,10091.049
11/1/1994,180703,1.11575,91.6,5.6,149.8,89.19,5.120072,4.1,10506.372
12/1/1994,181524,1.0905,95.1,5.5,150.1,88.69,5.120072,4.1,10506.372
11/1/1995,189055,1.06225,88.2,5.6,153.7,85.37,5.594352,2.2,10737.478
12/1/1995,190774,1.07125,91,5.6,153.9,84.83,5.594352,2.2,10737.478
11/1/1996,200174,1.23225,99.2,5.4,158.7,87.88,5.777011,4.4,11212.205
12/1/1996,201284,1.2352,96.9,5.4,159.1,87.86,5.777011,4.4,11212.205
11/1/1997,208936,1.17075,107.2,4.6,161.7,97.81,5.705666,4.5,11715.393
12/1/1997,209363,1.1314,102.1,4.7,161.8,99.57,5.705666,4.5,11715.393
11/1/1998,221134,0.9954,102.7,4.4,164.1,96.18,5.761093,4.9,12287
12/1/1998,223179,0.945,100.5,4.4,164.4,93.96,5.761093,4.9,12287
11/1/1999,240544,1.2514,107.2,4.1,168.4,101.91,5.95983,4.8,12877.593
12/1/1999,245485,1.2725,105.4,4,168.8,101.53,5.95983,4.8,12877.593
11/1/2000,250331,1.51725,107.6,3.9,174.2,115.1,6.341266,3,13260.506
12/1/2000,250658,1.44275,98.4,3.9,174.6,109.28,6.341266,3,13260.506
11/1/2001,260514,1.1705,83.9,5.5,177.5,115.55,6.712248,0.2,13280.859
12/1/2001,256549,1.086,88.8,5.7,177.4,117.21,6.712248,0.2,13280.859
11/1/2002,263568,1.419,84.2,5.9,181.5,106.5,6.502536,2.1,13559.032
12/1/2002,265930,1.3858,86.7,6,181.8,102.26,6.502536,2.1,13559.032
11/1/2003,278298,1.512,93.7,5.8,185,90.28,6.371153,4.3,14145.645
12/1/2003,277612,1.4788,92.6,5.7,185.5,87.26,6.371153,4.3,14145.645
11/1/2004,296177,1.9794,92.8,5.4,191.7,81.82,6.237751,3.3,14609.876
12/1/2004,299763,1.841,97.1,5.4,191.7,81,6.237751,3.3,14609.876
11/1/2005,313303,2.25675,81.6,5,198.1,91.51,6.10349,3.1,15066.597
12/1/2005,313473,2.185,91.5,4.9,198.1,90.96,6.10349,3.1,15066.597
11/1/2006,323343,2.22925,92.1,4.5,202,82.85,5.919763,2.6,15456.928
12/1/2006,326849,2.31275,91.7,4.4,203.1,83.43,5.919763,2.6,15456.928
11/1/2007,341133,3.08,76.1,4.7,210.834,76.17,6.00891,2,15761.967
12/1/2007,336189,3.0184,75.5,5,211.445,76.7,6.00891,2,15761.967
11/1/2008,301332,2.147,55.3,6.8,213.153,86.705,5.86467,-2.8,15328.027
12/1/2008,294025,1.687,60.1,7.3,211.398,82.15,5.86467,-2.8,15328.027
11/1/2009,306675,2.6514,67.4,9.9,217.234,74.935,5.417978,0.2,15356.058
12/1/2009,308413,2.60725,72.5,9.9,217.347,78.22,5.417978,0.2,15356.058
11/1/2010,327635,2.859,71.6,9.8,219.59,81.271,5.027983,2.6,15750.625
12/1/2010,329741,2.993,74.5,9.3,220.472,79.288,5.027983,2.6,15750.625
11/1/2011,349352,3.38375,63.7,8.6,227.169,78.491,5.013645,1.6,16004.107
12/1/2011,349973,3.26575,69.9,8.5,227.223,80.522,5.013645,1.6,16004.107
11/1/2012,363013,3.45175,82.7,7.7,231.249,80.163,4.877597,1.5,16239.138
12/1/2012,364299,3.3104,72.9,7.9,231.221,79.871,4.877597,1.5,16239.138
11/1/2013,373819,3.24275,75.1,6.9,234.1,80.657,5.210367,2.6,16663.649
12/1/2013,376575,3.2764,82.5,6.7,234.719,80.189,5.210367,2.6,16663.649
11/1/2014,391679,2.91225,88.8,5.8,236.983,88.413,5.296709,2.9,17143.038
12/1/2014,388421,2.5426,93.6,5.6,236.252,90.647,5.296709,2.9,17143.038
11/1/2015,396257,2.158,91.3,5.1,238.017,100.21,5.399252,2.2,17514.062
12/1/2015,397123,2.0375,92.6,5,237.761,98.745,5.399252,2.2,17514.062
11/1/2016,406761,2.1815,93.8,4.7,241.993,101.539,5.59175,2.1,17876.179
12/1/2016,412753,2.25425,98.2,4.7,242.712,102.286,5.59175,2.1,17876.179
11/1/2017,431841,2.5635,98.5,4.2,247.333,93.002,5.576678,2.7,18359.432
12/1/2017,433877,2.47675,95.9,4.1,247.847,91.826,5.576678,2.7,18359.432
11/1/2018,446894,2.64725,97.5,3.7,252.662,97.196,5.52013,2.5,18813.923
12/1/2018,435953,2.3656,98.3,3.9,252.653,95.735,5.52013,2.5,18813.923
11/1/2019,460760,2.59775,96.8,3.5,257.824,98.202,5.614131,2.3,19253.959
12/1/2019,460512,2.555,99.3,3.5,258.444,96.058,5.614131,2.3,19253.959
,,,,,,93.688,4.972469,-9,17302.511
