pub_date,abstract,compound,neg,neu,pos
12/1/1992,"  It was a hair-raising holiday season for many of the nation's retailers: sales started out strong, dropped off precipitously and finally skyrocketed the last weekend before Christmas.   Most merchants say their holiday business improved this year despite the ups and downs caused by unusually nasty weather and news of more layoffs and revampings among America's blue-chip companies.",0.785,0.058,0.765,0.177
12/1/1992,"  A Blow to the Wallet   Retailers and public officials lamented the storm's temporary effect on holiday sales and feared the costly, prolonged work needed to repair ravaged beaches and homes. Page 49. Transit's Fragile System   The breakdown of New York's subways during the storm underscored its reliance on a rare electric current to run many safety signals. Page 55.",-0.128,0.109,0.806,0.085
11/1/1992,"  Signs of a comeback in consumer spending pushed the broad stock market averages to record highs yesterday, although trading volume was the lightest of the year.   The Dow Jones industrial average rose 15.94 points, to 3,282.20, ending a holiday-shortened week with a solid gain of 54.84 points.",0.6124,0,0.894,0.106
12/1/1992,"  Losses at R. H. Macy & Company narrowed in the first quarter of its 1993 fiscal year, the bankrupt retailer reported yesterday. It added that holiday sales were running ahead of last year and slightly ahead of plan, but the company said it remained cautious.   For the quarter that ended on Oct. 31, Macy reported a loss of $135.8 million on sales of $1.5 billion, compared with a loss of $155.3 million on sales of $1.6 billion in the corresponding period a year ago. The first quarter of 1992 included sales at stores that have since been closed.",-0.7579,0.103,0.878,0.018
11/1/1992,"  With their fingers tightly crossed and rabbits' feet stashed in their pockets, merchants are predicting healthy -- but not robust -- sales increases this holiday season.   Retailers are taking hope from their strong performances in the third quarter, when sales and profits increased for many. Also figuring into their estimates are the recent encouraging economic statistics, like stronger housing starts, rising consumer confidence and slightly lower unemployment and consumer debt loads.",0.9797,0.11,0.542,0.348
11/1/1992,"  The Kmart Corporation, the discount and specialty store chain, reported yesterday that a program of renovating and enlarging its discount stores paid off in increases of about 12 percent in profits and sales in its third quarter.   And Toys ""R"" Us Inc., the specialty toy retailer, said strong sales at its stores in Europe and Japan and its Kids ""R"" Us apparel chain helped lift profits nearly 15 percent while sales rose more than 14 percent in the quarter.",0.8442,0,0.892,0.108
12/1/1992,"   The Economy    The economy is staggering out of the recession, but people who are getting jobs again tell a sobering story. The good jobs of the past, with strong wages and benefits, are largely giving way to unstable and mediocre positions. That makes this recovery different from any other. And with corporate giants like G. M. and I.B.M. planning to shed tens of thousands of workers next year, the resilience of the recovery is in some doubt.  [ Page 1. ]   Most merchants' holiday business improved this year despite ups and downs caused by unusually nasty weather and more layoffs and revampings among top companies. ""People have shopped this year like there really is a Christmas,"" an analyst said. While retailers will not post holiday sales numbers until Thursday, a few experts estimate sales grew 8 or 9 percent from a year ago.  [ 1. ]",0.9668,0.092,0.701,0.206
12/1/1992,"  The economy is improving modestly but unevenly across the country, with retailers expressing optimism about the holiday season, the Federal Reserve said today.   In its periodic assessment of the state of the economy, the central bank said almost all regions were experiencing ""a slight to moderate pickup in some or all sectors of the economy"" while noting specifically that California was doing worse than other states.",0.7227,0.054,0.812,0.134
12/1/1992,"  The Economy    Retail sales rose for the fifth straight month in November, while consumer prices rose a modest 0.2 percent. Last month's sales rise was 0.4 percent, but this was after October's gain of 0.9 percent was revised upward to 1.9 percent.  [ Page 39. ]   Increasing taxes on the rich will not raise as much revenue as the Clinton economic team has projected, both because the rich can take steps to avoid taxes and because they may not possess as many riches as they used to.  [ 39. ]",0.962,0.027,0.773,0.2
12/1/1992,"THE good news is that consumer spending on Long Island rose for the fifth month in a row, thanks to brisk holiday sales and a rise in consumer confidence. The bad news is that much of the seasonal spree was financed on plastic. 

A result: Thousands of overzealous holiday spenders will usher in the new year with painful debt hangovers.",0.7351,0.122,0.658,0.221
